Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct
X26_DMA_binary_U,1167,111,1056,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0064717837377510825,0.0017041049866622826,0.013297038956436226,0.004,0.0019494838711168103,-0.028844534640739806,0.031909884334426854,0.882,0.008421267608867893,-0.022304721809127414,0.037800093337593176,0.602,0.7685047000449272,-3.9283018293116667,5.351265836781762,0.602,0.0054666666666666665,TRUE,76.85047000449272
X1_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0015554665988553032,2.59905292535128e-4,0.003909285525545775,0.014,0.011271130897763324,-0.002308816084449903,0.01637482323968275,0.09,0.012826597496618627,7.817754684624233e-6,0.017429532485565984,0.05,0.12126883994491588,-0.10372304710801213,0.8286451612746953,0.064,0.017393939393939396,TRUE,12.126883994491589
Mn_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0011946109967419325,1.0300757162565501e-4,0.005254928626165233,0.004,0.005555318062381736,-0.01030846780524191,0.006686997329660751,0.162,0.006749929059123668,-0.006897258475135037,0.007872327676275428,0.1,0.17698126695527477,-0.5728554021067656,1.1145741340060182,0.104,0.0054666666666666665,TRUE,17.698126695527478
X34_MHA_ln_U,2479,258,2221,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0011814883926537954,3.4897416413992317e-4,0.0027980593904191,0.002,0.004409075812497277,-0.006210335946093719,0.00639458734535677,0.278,0.0055905642051510725,-0.004693481892739888,0.007161615070381531,0.188,0.21133616381065573,-1.4131528200262211,1.6088334788487237,0.19,0.0034166666666666664,TRUE,21.133616381065572
Mn_binary_U,2504,262,2242,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00339558083512554,5.373902666010592e-4,0.0072251019382067365,0.018,0.011620183057702557,-0.014472873640858822,0.038012334638844944,0.428,0.015015763892828098,-0.011388328469946423,0.042935053450065666,0.298,0.22613440510657962,-2.3869768355096053,2.399228298283992,0.308,0.020499999999999997,TRUE,22.613440510657963
MA_ln_U,2437,259,2178,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.001821914215292083,3.212685542485566e-4,0.0049816598259311215,0.006,0.004634109160569291,-0.0153552018051856,0.007333477622617868,0.488,0.006456023375861375,-0.011786407754983979,0.008310128819564071,0.318,0.2822037823010515,-1.8609433490055605,3.551477815821511,0.312,0.0076875,TRUE,28.220378230105148
X2_AN_ln_U,1225,103,1122,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00204477313109789,5.5423648207518234e-5,0.005153669726828,0.036,0.0070980975892895835,-0.008450143196782427,0.026484967485126513,0.422,0.009142870720387474,-0.006677842360222758,0.029488457442797284,0.28,0.22364672908896088,-1.5898555332864779,3.1143136414311337,0.3,0.03989189189189189,TRUE,22.36467290889609
Cd_ln_U,2502,262,2240,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0029858037187430343,4.941065130705406e-4,0.006827521547165205,0.018,0.027642347283177278,0.0036921706086996513,0.06060284809534067,0.012,0.030628151001920314,0.006089214565087851,0.06420229200206426,0.006,0.0974856013526847,0.01603189062889572,0.42057098851467534,0.024,0.020499999999999997,TRUE,9.748560135268471
X4_ABP_ln_U,1241,111,1130,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00214880299583449,2.234851301919473e-4,0.005243512193321762,0.018,0.014460394285444093,-0.0013198240364988528,0.03474701057885217,0.076,0.016609197281278583,3.951515624338453e-4,0.0367523727004468,0.042,0.12937428338313253,-0.01452574126322809,0.8169430300177583,0.056,0.020499999999999997,TRUE,12.937428338313254
U_ln_U,2502,262,2240,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0013149822125235414,-2.2859439372274387e-4,0.00392726596598567,0.116,0.003127932249103703,-0.005767224852526521,0.024667090654965324,0.71,0.004442914461627244,-0.0051475817817293774,0.026282376931043662,0.556,0.2959728853393052,-2.958548506402389,3.5589781024051153,0.592,0.11889999999999999,FALSE,29.59728853393052
