Pollutant,N,CVD_events,CVD_nonevents,Estimated_indirect_effect,Estimated_indirect_effect_95_CI_low,Estimated_indirect_effect_95_CI_high,Indirect_effect_P_value,Direct_effect,Direct_effect_95_CI_low,Direct_effect_95_CI_high,Direct_effect_P_value,Total_effect,Total_effect_95_CI_low,Total_effect_95_CI_high,Total_effect_P_value,Proportion_mediated,Proportion_mediated_P_value,Indirect_effect_BH_FDR,Indirect_effect_significant_BH_FDR,Mediation_pattern,Weight_variable,NHANES_cycle
X26_DMA_binary_U,1167,111,1056,0.00647178373775108,0.00170410498666228,0.01329703895643622,0.004,0.00194948387111681,-0.0288445346407398,0.03190988433442685,0.882,0.00842126760886789,-0.02230472180912741,0.03780009333759317,0.602,0.7685047000449272,0.602,0.00546666666666666,TRUE,Consistent,WTSA2YR,2013-2014
Mn_ln_S,3690,394,3296,0.00119461099674193,1.03007571625655e-4,0.00525492862616523,0.004,0.00555531806238173,-0.01030846780524191,0.00668699732966075,0.162,0.00674992905912366,-0.00689725847513503,0.00787232767627542,0.1,0.17698126695527475,0.104,0.00546666666666666,TRUE,Consistent,WTSH2YR,2013-2014|2015-2016
CEMA_CYM_ln_U,2459,258,2201,0.00213455069856956,7.696780246499882e-4,0.00375853407881495,0.006,0.00743971926039973,0.00231510170451455,0.01198679200782861,0.004,0.0095742699589693,0.00475577876256016,0.01413490083126287,0,0.22294657532294557,0.006,0.0076875,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
MA_ln_U,2437,259,2178,0.00182191421529208,3.212685542485566e-4,0.00498165982593112,0.006,0.00463410916056929,-0.0153552018051856,0.00733347762261786,0.488,0.00645602337586137,-0.01178640775498397,0.00831012881956407,0.318,0.2822037823010515,0.312,0.0076875,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X1_PH_ln_U,2494,262,2232,0.0015554665988553,2.59905292535128e-4,0.00390928552554577,0.014,0.01127113089776332,-0.0023088160844499,0.01637482323968275,0.09,0.01282659749661862,7.817754684624233e-6,0.01742953248556598,0.05,0.12126883994491588,0.064,0.01739393939393939,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
Mn_binary_U,2504,262,2242,0.00339558083512554,5.373902666010592e-4,0.00722510193820673,0.018,0.01162018305770255,-0.01447287364085882,0.03801233463884494,0.428,0.01501576389282809,-0.01138832846994642,0.04293505345006566,0.298,0.2261344051065796,0.308,0.02049999999999999,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
Cd_ln_U,2502,262,2240,0.00298580371874303,4.941065130705406e-4,0.0068275215471652,0.018,0.02764234728317727,0.00369217060869965,0.06060284809534067,0.012,0.03062815100192031,0.00608921456508785,0.06420229200206426,0.006,0.0974856013526847,0.024,0.02049999999999999,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X4_ABP_ln_U,1241,111,1130,0.00214880299583449,2.234851301919473e-4,0.00524351219332176,0.018,0.01446039428544409,-0.00131982403649885,0.03474701057885217,0.076,0.01660919728127858,3.951515624338453e-4,0.0367523727004468,0.042,0.12937428338313253,0.056,0.02049999999999999,TRUE,Consistent,WTSA2YR,2013-2014
X2_AN_ln_U,1225,103,1122,0.00204477313109789,5.5423648207518234e-5,0.005153669726828,0.036,0.00709809758928958,-0.00845014319678242,0.02648496748512651,0.422,0.00914287072038747,-0.00667784236022275,0.02948845744279728,0.28,0.22364672908896088,0.3,0.03989189189189189,TRUE,Consistent,WTSA2YR,2013-2014
CYHA_Cys_binary_U,1187,137,1050,0.01447287609782093,-0.00212885894606514,0.03289222533119983,0.078,0.04218629876513416,-0.0123104375114683,0.098553772355556,0.122,0.0566591748629551,0.0047811348576503,0.1146526377683556,0.034,0.25543746679734286,0.108,0.08415789473684211,FALSE,Consistent,WTSA2YR,2015-2016
IPM1_Cys_ln_U,1185,137,1048,0.00271588267805147,-4.5824768509927343e-4,0.00849866655814288,0.084,0.02880750442778187,0.01394013279416708,0.0375845623229998,0.002,0.03152338710583335,0.01820434918582169,0.03924031308124964,0.002,0.08615453247246098,0.086,0.08830769230769232,FALSE,Consistent,WTSA2YR,2015-2016
U_ln_U,2502,262,2240,0.00131498221252354,-2.2859439372274387e-4,0.00392726596598567,0.116,0.0031279322491037,-0.00576722485252652,0.02466709065496532,0.71,0.00444291446162724,-0.00514758178172937,0.02628237693104366,0.556,0.2959728853393052,0.592,0.1189,FALSE,Consistent,WTSA2YR,2013-2014|2015-2016
IPM3_Cys_ln_U,1185,137,1048,0.00194516056823292,-9.190887557216794e-4,0.00550947247757564,0.194,0.01699180734597363,0.00660530601565979,0.02502448982895407,0.002,0.01893696791420656,0.00972584335251405,0.02575150005122888,0,0.1027176355288462,0.194,0.194,FALSE,Consistent,WTSA2YR,2015-2016
