Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct,Visual_Size,Mediation_Direction,family,Pollutant_Label,Significance,Label_Text
EO_ln_S,2415,259,2156,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00278803957776412,9.054314464780076e-4,0.00558931366387679,0,0.00769961008384988,5.485071314251538e-4,0.01079911716563226,0.04,0.01093731576905091,0.00503131176256733,0.01307729369144078,0.002,0.2549107693912778,0.07981770788373681,0.866348612671741,0.002,0,TRUE,25.491076939127783,25.491076939127783,Consistent (+),Gaseous Pollutants,EO_ln_S,Significant (BH-FDR < 0.05),25.5%
X1_AN_ln_U,1218,105,1113,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00283765665847733,7.976761489909461e-4,0.00564398523075653,0.004,0.00433980508188932,-0.00643930833106012,0.01577643446374877,0.434,0.00728950766847263,-0.00410346275591402,0.02000326106051775,0.226,0.38927960399167905,-2.2640991570218407,3.172517086738554,0.23,0.00546666666666666,TRUE,38.9279603991679,38.9279603991679,Consistent (+),Aromatic Amines,1_AN_ln_U,Significant (BH-FDR < 0.05),38.9%
Mn_binary_U,2504,262,2242,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00322347017435908,5.409008255189471e-4,0.00701282515030014,0.018,0.0114480723969361,-0.01434659878359517,0.03772595881754215,0.428,0.01501576389282809,-0.01138832846994642,0.04293505345006566,0.298,0.21467240676970817,-2.4498417453283783,2.4221144930528955,0.308,0.02049999999999999,TRUE,21.467240676970818,21.467240676970818,Consistent (+),Heavy Metals,Mn_binary_U,Significant (BH-FDR < 0.05),21.5%
MBzP_ln_U,2426,263,2163,2013-2014|2015-2016,WTSB2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00328579172358505,0.00139496126192284,0.00566544230834643,0,-1.1752047206980852e-4,-0.01124228849433575,0.01050181270358518,0.972,0.00316483721903246,-0.00759706663706937,0.01360238751580542,0.55,1.0382182387849852,-12.766898664674466,7.087134609610061,0.55,0,TRUE,103.82182387849852,100,Consistent (+),Phthalates,MBzP_ln_U,Significant (BH-FDR < 0.05),103.8%
PMA_binary_U,2450,258,2192,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00395643042463264,0.00116206383107476,0.00766065114823914,0.004,-0.00634009695624732,-0.02796081678412196,0.01586330908652856,0.618,-0.00260699779125321,-0.02506808722831553,0.02102441192934369,0.836,-1.517619400333572,-4.118563337013077,4.319952739084313,0.84,0.00546666666666666,TRUE,-151.7619400333572,100,Inconsistent (-),Volatile Organic Compounds (VOC),PMA_binary_U,Significant (BH-FDR < 0.05),
Cd_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00504559297991431,0.00258417431525101,0.00789520984182808,0,0.01421628239268805,0.00260013418017132,0.02426739315337676,0.022,0.02017449082650765,0.00845637618447381,0.0292252230999102,0,0.2500976616116039,0.10266446002226082,0.6284563898079473,0,0,TRUE,25.00976616116039,25.00976616116039,Consistent (+),Heavy Metals,Cd_ln_S,Significant (BH-FDR < 0.05),25.0%
HEMA_binary_U,2468,257,2211,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00610355324081886,0.00271582541110399,0.01089533325514034,0.002,0.00923273584001636,-0.01573150417378405,0.03188403957038474,0.522,0.01588558987262016,-0.00997945154244286,0.04126014800966456,0.242,0.3842194901014495,-3.4428025725791622,4.831000455933339,0.244,0.00341666666666666,TRUE,38.42194901014495,38.42194901014495,Consistent (+),Volatile Organic Compounds (VOC),HEMA_binary_U,Significant (BH-FDR < 0.05),38.4%
X26_DMA_binary_U,1167,111,1056,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00641275750538577,0.00168623314205431,0.01351370009645393,0.004,0.0018904576387515,-0.02790525431091579,0.03082129135027504,0.882,0.00842126760886789,-0.02230472180912741,0.03780009333759317,0.602,0.7614955138859278,-4.022264746961248,5.4145909979129785,0.602,0.00546666666666666,TRUE,76.14955138859278,76.14955138859278,Consistent (+),Aromatic Amines,26_DMA_binary_U,Significant (BH-FDR < 0.05),76.1%
Toluene_ln_S,3512,365,3147,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00666183365859509,0.0035674816663877,0.0108481290074461,0,0.00625364628117261,-0.0042000671008131,0.02137095206543151,0.314,0.01318250398305477,8.189465435943531e-4,0.03072701516948244,0.04,0.5053541927359503,0.1631308260595818,2.5931973794392205,0.04,0,TRUE,50.535419273595025,50.535419273595025,Consistent (+),Volatile Organic Compounds (VOC),Toluene_ln_S,Significant (BH-FDR < 0.05),50.5%
o_Xylene_binary_S,3575,375,3200,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00745414497804542,0.00397198197676452,0.01189516051207116,0,0.01815306163184272,-0.00216489706218158,0.03841898506021739,0.074,0.02691993687956983,0.00568729122747605,0.04932606320908907,0.018,0.27690053700321077,0.10932123673318378,1.0555518395256387,0.018,0,TRUE,27.690053700321076,27.690053700321076,Consistent (+),Volatile Organic Compounds (VOC),o_Xylene_binary_S,Significant (BH-FDR < 0.05),27.7%
PHE_Cys_binary_U,2428,252,2176,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00782836416831558,0.00299804758111649,0.01327319588340375,0,0.00657905872383505,-0.01442092602172969,0.03031990250034138,0.57,0.01490541611961237,-0.00731553274470332,0.03978831757306831,0.208,0.5252026582481729,-3.311177390616278,5.8633979737411455,0.208,0,TRUE,52.520265824817294,52.520265824817294,Consistent (+),Volatile Organic Compounds (VOC),PHE_Cys_binary_U,Significant (BH-FDR < 0.05),52.5%
A_a_C_binary_U,1278,119,1159,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00842665881942947,0.00225692090948044,0.01576900869066051,0.002,0.0128332385647639,-0.01617069669990553,0.04383747131076317,0.348,0.02240947326931214,-0.00970183654664782,0.05577366734396603,0.144,0.37603109712395894,-1.897339912486074,3.726383724664263,0.146,0.00341666666666666,TRUE,37.60310971239589,37.60310971239589,Consistent (+),Aromatic Amines,A_a_C_binary_U,Significant (BH-FDR < 0.05),37.6%
GAM_Cys_binary_U,2486,259,2227,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00977658235663009,0.00427485959056252,0.01617876375435798,0,-1.8518343843009136e-4,-0.02353880375388005,0.02274635762269284,0.95,0.00957404045948311,-0.01399840710313816,0.03387380713555665,0.428,1.0211553207868849,-12.495574325759408,8.879114638367517,0.428,0,TRUE,102.11553207868847,100,Consistent (+),Volatile Organic Compounds (VOC),GAM_Cys_binary_U,Significant (BH-FDR < 0.05),102.1%
Benzene_binary_S,3484,368,3116,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01039179977328801,0.0057004814929736,0.01614088716192463,0,0.00233713553056387,-0.01783278017544118,0.0230019066717467,0.746,0.01295331293503719,-0.00899414049161188,0.0356654458032331,0.228,0.8022503451745856,-5.1330572381800526,5.3460276894248615,0.228,0,TRUE,80.22503451745855,80.22503451745855,Consistent (+),Volatile Organic Compounds (VOC),Benzene_binary_S,Significant (BH-FDR < 0.05),80.2%
Ethylbenzene_binary_S,3491,366,3125,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01060576415321424,0.00536383199302466,0.01639358059931049,0,0.00882888611615513,-0.01138286056185912,0.02964712464162981,0.43,0.02032374721804301,-0.00176258686271597,0.04355281669736154,0.074,0.5218409793937342,-2.4142929662668897,4.17490717756632,0.074,0,TRUE,52.184097939373416,52.184097939373416,Consistent (+),Volatile Organic Compounds (VOC),Ethylbenzene_binary_S,Significant (BH-FDR < 0.05),52.2%
CYHA_Cys_binary_U,1187,137,1050,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01222797331784824,-0.00177715488014339,0.03049205982744224,0.078,0.03994139598516146,-0.01139809985864936,0.0949291583831477,0.122,0.0566591748629551,0.0047811348576503,0.1146526377683556,0.034,0.21581629713854397,-0.08740631513795633,1.4937859480517366,0.108,0.08415789473684211,FALSE,21.581629713854397,21.581629713854397,Consistent (+),Volatile Organic Compounds (VOC),CYHA_Cys_binary_U,Non-significant,
MeA_a_C_binary_U,1279,118,1161,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01254793803321899,0.00290631724142475,0.02350023207915758,0.004,0.02317696354330093,-0.01759217438921766,0.06604097209104394,0.288,0.03859737874672175,-0.00604816309390179,0.08535051121172388,0.096,0.3250981916559489,-2.119638727588528,3.078898919077475,0.1,0.00546666666666666,TRUE,32.50981916559489,32.50981916559489,Consistent (+),Aromatic Amines,MeA_a_C_binary_U,Significant (BH-FDR < 0.05),32.5%
Furan_binary_S,3586,375,3211,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01840243248838905,0.00939065274183154,0.02852871771605371,0,0.02301514592584916,-0.00700400461014441,0.05325397993290703,0.14,0.04522652317649753,0.01158182202533243,0.08073823353254775,0,0.40689469797563566,0.18132577875045988,1.595937430847931,0,0,TRUE,40.68946979756357,40.68946979756357,Consistent (+),Volatile Organic Compounds (VOC),Furan_binary_S,Significant (BH-FDR < 0.05),40.7%
X25_DMF_binary_S,3581,374,3207,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01867121794816353,0.00952376087828396,0.02991442005715037,0.002,0.02449522672742184,-0.00294216734242647,0.05512576498677697,0.078,0.04739289140564182,0.01895846135779116,0.08208392098061795,0.002,0.3939666349612264,0.1691826792406834,1.1705299137203555,0.004,0.00341666666666666,TRUE,39.39666349612264,39.39666349612264,Consistent (+),Volatile Organic Compounds (VOC),25_DMF_binary_S,Significant (BH-FDR < 0.05),39.4%
