Gene,Source
AGTR1,OMIM
SLC2A2,OMIM
IGF2BP2,OMIM
IDUA,OMIM
FGFR3,OMIM
NSD2,OMIM
EVC2,OMIM
EVC,OMIM
WFS1,OMIM
SLC2A9,OMIM
FRYL,OMIM
KDR,OMIM
IGFBP7,OMIM
PKD2,OMIM
TET2,OMIM
NR3C2,OMIM
FBXW7,OMIM
FGB,OMIM
FGA,OMIM
FGG,OMIM
TLL1,OMIM
SDHA,OMIM
LIFR,OMIM
GHR,OMIM
CARTPT,OMIM
HMGCR,OMIM
FBN2,OMIM
NDUFA2,OMIM
NR3C1,OMIM
PDGFRB,OMIM
SH3PXD2B,OMIM
NKX2-5,OMIM
NSD1,OMIM
B4GALT7,OMIM
FLT4,OMIM
FOXC1,OMIM
EDN1,OMIM
CYP21A2,OMIM
HMGA1,OMIM
VEGFA,OMIM
PLA2G7,OMIM
TFAP2B,OMIM
DST,OMIM
ELOVL4,OMIM
TENT5A,OMIM
LAMA4,OMIM
GJA1,OMIM
ENPP1,OMIM
TNFAIP3,OMIM
CITED2,OMIM
ESR1,OMIM
LPA,OMIM
IQCE,OMIM
AGR2,OMIM
IL6,OMIM
HOXA1,OMIM
GHRHR,OMIM
PPP1R17,OMIM
TBX20,OMIM
GLI3,OMIM
GCK,OMIM
CCM2,OMIM
GUSB,OMIM
ELN,OMIM
CD36,OMIM
COL1A2,OMIM
EPHB4,OMIM
SERPINE1,OMIM
PIK3CG,OMIM
PPP1R3A,OMIM
MDFIC,OMIM
CAV1,OMIM
PAX4,OMIM
LEP,OMIM
FLNC,OMIM
SMO,OMIM
BRAF,OMIM
KCNH2,OMIM
NCAPG2,OMIM
ERI1,OMIM
GATA4,OMIM
LPL,OMIM
BMP1,OMIM
NKX2-6,OMIM
EPHX2,OMIM
ADRB3,OMIM
LSM1,OMIM
KAT6A,OMIM
SOX17,OMIM
CHD7,OMIM
EYA1,OMIM
OTUD6B,OMIM
CFAP418,OMIM
ZFPM2,OMIM
SLC30A8,OMIM
TNFRSF11B,OMIM
WASHC5,OMIM
GPIHBP1,OMIM
VLDLR,OMIM
JAK2,OMIM
IFNA1,OMIM
B4GALT1,OMIM
AOPEP,OMIM
ANKS6,OMIM
TGFBR1,OMIM
INVS,OMIM
ABCA1,OMIM
ELP1,OMIM
ADAMTSL2,OMIM
DBH,OMIM
NOTCH1,OMIM
