method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,nominal,fdr_significant,display_label,significance_rank,label_point
survey_weighted,beta,-7.843345467203018,-10.037272133053587,-5.649418801352447,1.0293120334098207,15,1.5597890070044428e-6,age+sex+eth+marital+PIR_level+edu+alcohol.user,,MeA_a_C_binary_U,AA_urine.rds,LE8,binary_above_detection_threshold,1279,,,15,2,2013-2014,WTSA2YR,ok,,9.29634248174648e-6,Aromatic Amines,urine,TRUE,TRUE,MeA_a_C_binary_U,25,TRUE
survey_weighted,beta,-1.6821610798463948,-2.2923678876763045,-1.0719542720164854,0.29878814942011006,30,3.937859991513189e-6,age+sex+eth+marital+PIR_level+edu+alcohol.user,,MBzP_ln_U,Phthalates_urine.rds,LE8,natural_log_transformed,2427,,,30,4,2013-2014|2015-2016,WTSB2YR,ok,,2.2566966874440968e-5,Phthalates,urine,TRUE,TRUE,MBzP_ln_U,26,TRUE
survey_weighted,beta,-5.714518886465742,-7.818071832650384,-3.6109659402810994,1.0300060306323622,30,4.9594241597877055e-6,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Ethylbenzene_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3491,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,2.7368674066976596e-5,Volatile Organic Compounds (VOC),serum,TRUE,TRUE,Ethylbenzene_binary_S,27,TRUE
survey_weighted,beta,1.563802656021308,0.9763452110551158,2.1512601009875003,0.2876489095045316,30,6.792257552786178e-6,age+sex+eth+marital+PIR_level+edu+alcohol.user,,BMA_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2477,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,3.614451340589788e-5,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,BMA_ln_U,28,FALSE
survey_weighted,beta,-2.7278684226500753,-3.623603448382971,-1.8321333969171796,0.42024688203334976,15,1.0186586321109996e-5,age+sex+eth+marital+PIR_level+edu+alcohol.user,,IPM3_Cys_ln_U,VOC_urine.rds,LE8,natural_log_transformed,1185,,,15,2,2015-2016,WTSA2YR,ok,,5.233797799466861e-5,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,IPM3_Cys_ln_U,29,TRUE
survey_weighted,beta,1.0068552123250645,0.615634040425745,1.3980763842243835,0.19156169427455355,30,1.1304303533654548e-5,age+sex+eth+marital+PIR_level+edu+alcohol.user,,BP3_ln_U,PCCP_urine.rds,LE8,natural_log_transformed,2427,,,30,4,2013-2014|2015-2016,WTSB2YR,ok,,5.6144707550484257e-5,Personal Care Products,urine,TRUE,TRUE,BP3_ln_U,30,FALSE
survey_weighted,beta,-1.5982989182031242,-2.1396264495746875,-1.0569713868315611,0.25397154368455677,15,1.4408724104384234e-5,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X1_AN_ln_U,AA_urine.rds,LE8,natural_log_transformed,1218,,,15,2,2013-2014,WTSA2YR,ok,,6.92548352113952e-5,Aromatic Amines,urine,TRUE,TRUE,1_AN_ln_U,31,TRUE
survey_weighted,beta,0.8400863605555263,0.5068396245324485,1.1733330965786042,0.1631744750779342,30,1.532085858575466e-5,age+sex+eth+marital+PIR_level+edu+alcohol.user,,PrP_ln_U,PCCP_urine.rds,LE8,natural_log_transformed,2427,,,30,4,2013-2014|2015-2016,WTSB2YR,ok,,7.133774778992014e-5,Personal Care Products,urine,TRUE,TRUE,PrP_ln_U,32,FALSE
survey_weighted,beta,-2.3812000625996683,-3.340679077148955,-1.4217210480503817,0.4698095063608704,30,1.920267634076873e-5,age+sex+eth+marital+PIR_level+edu+alcohol.user,,CMAC_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2461,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,8.67029931749861e-5,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,CMAC_ln_U,33,TRUE
survey_weighted,beta,-4.350095960307905,-6.109023451330489,-2.5911684692853205,0.8612599585307927,30,2.018048884464916e-5,age+sex+eth+marital+PIR_level+edu+alcohol.user,,o_Xylene_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3575,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,8.84380246427272e-5,Volatile Organic Compounds (VOC),serum,TRUE,TRUE,o_Xylene_binary_S,34,TRUE
