method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,display_label,family_display,log10_p,nominal_positive,nominal_positive_rank,label_point
survey_weighted,odds_ratio,1.2096904304819551,0.9822603696963662,1.4897790674910012,0.10197627998681404,30,0.07173719267948896,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MB3_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2155,71,2084,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4436967286010821,Volatile Organic Compounds (VOC),urine,MB3_Cys_ln_U,Volatile Organic Compounds (VOC),1.1442556227487386,FALSE,,FALSE
survey_weighted,odds_ratio,0.6621047642275635,0.42151576592697326,1.0400149988429768,0.22110987937296273,30,0.07201519577828476,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X24D_ln_U,pesticides_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2200,80,2120,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.4436967286010821,Pesticides,urine,24D_ln_U,Pesticides,1.1425758543139968,FALSE,,FALSE
survey_weighted,odds_ratio,1.8495343441685836,0.9416310220997895,3.6328213599324206,0.3305512332073141,30,0.07266784240248197,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DHB_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2092,67,2025,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4436967286010821,Volatile Organic Compounds (VOC),urine,DHB_Cys_ln_U,Volatile Organic Compounds (VOC),1.1386577343520397,FALSE,,FALSE
survey_weighted,odds_ratio,0.546053591277753,0.28072094255331237,1.062174135763684,0.3257920031685651,30,0.07313505434619896,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,As_III_binary_U,HM_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,2228,74,2154,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4436967286010821,Heavy Metals,urine,As_III_binary_U,Metals and metalloids,1.1358744115502972,FALSE,,FALSE
survey_weighted,odds_ratio,0.7757156284434759,0.5859040192681035,1.0270193008116388,0.13741066107345443,30,0.07444575983239633,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_MHA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2087,69,2018,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4436967286010821,Volatile Organic Compounds (VOC),urine,2_MHA_ln_U,Volatile Organic Compounds (VOC),1.1281600330875439,FALSE,,FALSE
survey_weighted,odds_ratio,0.6909222729856441,0.4570158166888088,1.0445450023291036,0.2023771760827048,30,0.07767597625901121,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MHBP_ln_U,Phthalates_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2038,68,1970,30,4,2013-2014|2015-2016,WTSB2YR|WTSSBH2Y,ok,,0.4451430947151027,Phthalates,urine,MHBP_ln_U,Phthalates,1.109713279672768,FALSE,,FALSE
survey_weighted,odds_ratio,0.7187326648318003,0.4922617462876874,1.0493942448136595,0.1853224296691076,30,0.0848557775613336,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MEHHP_ln_U,Phthalates_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2139,70,2069,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.4540572309924938,Phthalates,urine,MEHHP_ln_U,Phthalates,1.0713185826028333,FALSE,,FALSE
survey_weighted,odds_ratio,1.5538132055908862,0.9369388403827348,2.576833592342465,0.2476894360730586,30,0.08532619105899211,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CEM_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2202,72,2130,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4540572309924938,Volatile Organic Compounds (VOC),urine,CEMA_CEM_ln_U,Volatile Organic Compounds (VOC),1.0689176407377194,FALSE,,FALSE
survey_weighted,odds_ratio,1.1430741093708685,0.9765018066667804,1.33806042200173,0.07711992508227271,30,0.09319603218682757,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BP3_ln_U,PCCP_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2139,70,2069,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.47883478606335544,Personal Care Products,urine,BP3_ln_U,Personal Care Products,1.0306025773031864,FALSE,,FALSE
survey_weighted,odds_ratio,1.496523781692398,0.8980961840583754,2.493701085612613,0.2500268979146441,30,0.11734553999427144,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Co_ln_U,HM_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2226,74,2152,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5498457395936088,Heavy Metals,urine,Co_ln_U,Metals and metalloids,0.9305334121811627,FALSE,,FALSE
