exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh,family,matrix,p_plot,minus_log10_p,direction,nominal,fdr_significant,positive_nominal,display_label
THg_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3226,771,2455,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8516648503363684,0.7653440021600667,0.9477215673622934,0.05232782344071441,30,0.004534649879534845,0.05858072879976276,Heavy Metals,serum,0.004534649879534845,2.343456239200571,-,TRUE,FALSE,FALSE,THg_ln_S
Se_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3225,771,2454,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,2.687882366614032,1.3871976889235487,5.208134121360132,0.323888223728513,30,0.0047179110442761955,0.05858072879976276,Heavy Metals,serum,0.0047179110442761955,2.326250251950676,+,TRUE,FALSE,TRUE,Se_ln_S
X24D_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,2180,536,1644,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7641666953103984,0.6364228397286199,0.9175515109901153,0.08956824913873684,30,0.0053500550188296594,0.06131986136966302,Pesticides,urine,0.0053500550188296594,2.2716417517635827,-,TRUE,FALSE,FALSE,24D_ln_U
PFUnDA_binary_S,PFC_serum.rds,DM,Diabetes,binary_above_detection_threshold,2043,547,1496,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6470398802490158,0.4773379591544599,0.8770737767728798,0.1489434872447348,30,0.0065369980237177435,0.06752049819339644,Polyfluoroalkyl Substances (PFAS),serum,0.0065369980237177435,2.1846216463311,-,TRUE,FALSE,FALSE,PFUnDA_binary_S
MINP_binary_U,Phthalates_urine.rds,DM,Diabetes,binary_above_detection_threshold,2115,558,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6947213839966228,0.5378788516597629,0.8972983412396314,0.1252905928625311,30,0.006797365589939238,0.06752049819339644,Phthalates,urine,0.006797365589939238,2.167659371327786,-,TRUE,FALSE,FALSE,MINP_binary_U
CEMA_AAM_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2136,489,1647,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7482509782783815,0.6075891583157954,0.9214771508538944,0.10196461613405847,30,0.007941490126410008,0.0739551268021932,Volatile Organic Compounds (VOC),urine,0.007941490126410008,2.1000979997192446,-,TRUE,FALSE,FALSE,CEMA_AAM_ln_U
Norharman_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1127,227,900,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.719626106674417,0.5703476636990155,0.9079755495950728,0.10907397274346081,15,0.008675897129821081,0.07604168660843183,Aromatic Amines,urine,0.008675897129821081,2.0616856060603244,-,TRUE,FALSE,FALSE,Norharman_ln_U
DEP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,1027,285,742,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7188021552383095,0.5664444201209429,0.9121398676059373,0.11175830510546847,15,0.009846707313298477,0.08150885498230406,Pesticides,urine,0.009846707313298477,2.0067089709978143,-,TRUE,FALSE,FALSE,DEP_ln_U
W_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2207,499,1708,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8246995222542658,0.7103447005507368,0.957463751723781,0.07308954205760086,30,0.013122577505072197,0.10290863411872407,Heavy Metals,urine,0.013122577505072197,1.881980853505467,-,TRUE,FALSE,FALSE,W_ln_U
Cd_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3226,771,2455,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.776614773581275,0.6366242657607055,0.9473884973957305,0.09732531427995476,30,0.014409399698015137,0.10732829537051095,Heavy Metals,serum,0.014409399698015137,1.8413541117099543,-,TRUE,FALSE,FALSE,Cd_ln_S
Cd_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2208,499,1709,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.381387089292571,1.0687015699415376,1.7855595464022658,0.12566575295385493,30,0.015342250295822757,0.10732829537051095,Heavy Metals,urine,0.015342250295822757,1.8141109363854864,+,TRUE,FALSE,TRUE,Cd_ln_U
Sn_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2207,499,1708,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.1750186986740079,1.0330123179453399,1.3365464460091896,0.0630694236373476,30,0.015847130860075442,0.10732829537051095,Heavy Metals,urine,0.015847130860075442,1.8000493558077266,+,TRUE,FALSE,TRUE,Sn_ln_U
DMA_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2209,500,1709,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8264346020656345,0.7070190667086215,0.9660194238762458,0.07641642195591358,30,0.01834098991325683,0.11881771726414207,Heavy Metals,urine,0.01834098991325683,1.7365772279755407,-,TRUE,FALSE,FALSE,DMA_ln_U
n_PFOS_ln_S,PFC_serum.rds,DM,Diabetes,natural_log_transformed,985,277,708,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7321559625362285,0.5587088318951393,0.9594485049736242,0.1268456441417152,15,0.02662982095597072,0.16532680510165154,Polyfluoroalkyl Substances (PFAS),serum,0.02662982095597072,1.574631753504556,-,TRUE,FALSE,FALSE,n_PFOS_ln_S
A_a_C_binary_U,AA_urine.rds,DM,Diabetes,binary_above_detection_threshold,1143,233,910,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.5934985990524033,0.37373417348282384,0.9424896412191585,0.21698382488760345,15,0.029568276673963646,0.16913775091149574,Aromatic Amines,urine,0.029568276673963646,1.5291739866946488,-,TRUE,FALSE,FALSE,A_a_C_binary_U
U_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2208,499,1709,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.1466270440629507,1.014372911965034,1.2961244949153965,0.060008656683393204,30,0.029878887101054973,0.16913775091149574,Heavy Metals,urine,0.029878887101054973,1.5246355827224973,+,TRUE,FALSE,TRUE,U_ln_U
X5OHIMI_binary_U,pesticides_urine.rds,DM,Diabetes,binary_above_detection_threshold,834,233,601,15,2,2015-2016,WTSSBI2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.4580655934880075,0.22805243760336308,0.9200694811359749,0.32721243650165255,15,0.030649122648391848,0.16913775091149574,Pesticides,urine,0.030649122648391848,1.513581952937268,-,TRUE,FALSE,FALSE,5OHIMI_binary_U
NPMA_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2170,491,1679,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8814634576729892,0.7839202094932929,0.9911440192555327,0.057424416777014736,30,0.035868765651989085,0.18008237402626046,Volatile Organic Compounds (VOC),urine,0.035868765651989085,1.4452835683966192,-,TRUE,FALSE,FALSE,NPMA_ln_U
PrP_ln_U,PCCP_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8991746376928489,0.8134768242425512,0.9939005082571281,0.04904332706071165,30,0.03830149129797605,0.18008237402626046,Personal Care Products,urine,0.03830149129797605,1.4167843161130198,-,TRUE,FALSE,FALSE,PrP_ln_U
Toluene_ln_S,VOC_serum.rds,DM,Diabetes,natural_log_transformed,3068,732,2336,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8471522621374737,0.7245222561980227,0.9905381775442521,0.07656567258240438,30,0.038350030333881735,0.18008237402626046,Volatile Organic Compounds (VOC),serum,0.038350030333881735,1.416234288199166,-,TRUE,FALSE,FALSE,Toluene_ln_S
X1_AN_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1098,210,888,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8830374502712665,0.7855445735962009,0.9926300362713759,0.05488772225138607,15,0.03866310391299612,0.18008237402626046,Aromatic Amines,urine,0.03866310391299612,1.412703283308625,-,TRUE,FALSE,FALSE,1_AN_ln_U
PFHS_ln_S,PFC_serum.rds,DM,Diabetes,natural_log_transformed,2043,547,1496,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.813977258545163,0.6701866375113251,0.9886186031536668,0.09517642470483237,30,0.038675409186847885,0.18008237402626046,Polyfluoroalkyl Substances (PFAS),serum,0.038675409186847885,1.4125650827572303,-,TRUE,FALSE,FALSE,PFHS_ln_S
MeP_ln_U,PCCP_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8886400459149022,0.7921992868504262,0.9968213103841608,0.056250707617076144,30,0.04434911697241767,0.20024298269364343,Personal Care Products,urine,0.04434911697241767,1.3531150229083357,-,TRUE,FALSE,FALSE,MeP_ln_U
PFDA_ln_S,PFC_serum.rds,DM,Diabetes,natural_log_transformed,2043,547,1496,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8263513257831298,0.6825574378499256,1.0004381693862319,0.09360814461376235,30,0.050494478606190836,0.2212846268330128,Polyfluoroalkyl Substances (PFAS),serum,0.050494478606190836,1.2967561078607548,-,FALSE,FALSE,FALSE,PFDA_ln_S
Harman_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1143,233,910,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.832138371705375,0.6897329683171114,1.0039454418918108,0.08805942382365922,15,0.05439488224525321,0.2260114655080699,Aromatic Amines,urine,0.05439488224525321,1.264441959073888,-,FALSE,FALSE,FALSE,Harman_ln_U
MEHP_binary_U,Phthalates_urine.rds,DM,Diabetes,binary_above_detection_threshold,2115,558,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7412192982469291,0.5458608672698199,1.0064946601532032,0.14979999764326837,30,0.05473234953737606,0.2260114655080699,Phthalates,urine,0.05473234953737606,1.2617559081663643,-,FALSE,FALSE,FALSE,MEHP_binary_U
m_p_Xylene_binary_S,VOC_serum.rds,DM,Diabetes,binary_above_detection_threshold,3117,746,2371,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.778037756337831,0.6011293631107403,1.007009118893581,0.12631267409430091,30,0.05612365250871534,0.2260114655080699,Volatile Organic Compounds (VOC),serum,0.05612365250871534,1.25085407298291,-,FALSE,FALSE,FALSE,m_p_Xylene_binary_S
PFHxA_binary_U,PFC_urine.rds,DM,Diabetes,binary_above_detection_threshold,998,257,741,15,2,2013-2014,WTSSBH2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6286000243030443,0.38745354741678617,1.0198331985556335,0.22702822126861782,15,0.05882014383188094,0.23063687976184893,Polyfluoroalkyl Substances (PFAS),urine,0.05882014383188094,1.2304739178548618,-,FALSE,FALSE,FALSE,PFHxA_binary_U
Mo_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2207,499,1708,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8204417847053365,0.6666219904154187,1.009754751221163,0.10166116774571173,30,0.06097713397830548,0.2313481766072896,Heavy Metals,urine,0.06097713397830548,1.2148329920181595,-,FALSE,FALSE,FALSE,Mo_ln_U
Nitrate_ln_U,PERNT_urine.rds,DM,Diabetes,natural_log_transformed,2200,499,1701,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7735792451735483,0.5897971286320137,1.0146282840529832,0.1328174828301327,30,0.06273251791240982,0.2313481766072896,Inorganic Anions,urine,0.06273251791240982,1.202507280715179,-,FALSE,FALSE,FALSE,Nitrate_ln_U
X2_AN_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1104,207,897,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7242644314293256,0.5137669870991123,1.0210055916505398,0.161104790410006,15,0.06365956537516022,0.2313481766072896,Aromatic Amines,urine,0.06365956537516022,1.1961363307764978,-,FALSE,FALSE,FALSE,2_AN_ln_U
Furan_binary_S,VOC_serum.rds,DM,Diabetes,binary_above_detection_threshold,3132,746,2386,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.5681426926804811,0.3096972339910403,1.0422634877506396,0.29710896267536274,30,0.06668322869507652,0.2365666922753905,Volatile Organic Compounds (VOC),serum,0.06668322869507652,1.1759833804920723,-,FALSE,FALSE,FALSE,Furan_binary_S
BCPP_binary_U,BFR_urine.rds,DM,Diabetes,binary_above_detection_threshold,1930,482,1448,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.3614823009013763,0.9755033958163581,1.90018206355548,0.16323760825105618,30,0.06840801115805104,0.23704171308254893,Brominated Flame Retardants,urine,0.06840801115805104,1.1648930357359473,+,FALSE,FALSE,FALSE,BCPP_binary_U
PFNA_ln_S,PFC_serum.rds,DM,Diabetes,natural_log_transformed,2043,547,1496,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.797485627638948,0.6224265659470614,1.0217804976286609,0.12135411067822856,30,0.07203050410498033,0.24286239037118879,Polyfluoroalkyl Substances (PFAS),serum,0.07203050410498033,1.1424835458057736,-,FALSE,FALSE,FALSE,PFNA_ln_S
Sr_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2208,499,1709,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8323754860648926,0.6801841599547053,1.018619648313928,0.09887028480951392,30,0.07334770178995635,0.24286239037118879,Heavy Metals,urine,0.07334770178995635,1.1346134893950246,-,FALSE,FALSE,FALSE,Sr_ln_U
PhIP_binary_U,AA_urine.rds,DM,Diabetes,binary_above_detection_threshold,1142,233,909,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.2910719854177186,0.9676555690222689,1.7225828330783783,0.13528443236434223,15,0.07846615377373524,0.24992335861194095,Aromatic Amines,urine,0.07846615377373524,1.1053176349628573,+,FALSE,FALSE,FALSE,PhIP_binary_U
MA_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2160,490,1670,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8121364077314566,0.6429704411518091,1.0258100568066821,0.11436748421266513,30,0.07883488493128339,0.24992335861194095,Volatile Organic Compounds (VOC),urine,0.07883488493128339,1.1032815619443956,-,FALSE,FALSE,FALSE,MA_ln_U
MCNP_ln_U,Phthalates_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8843838001318051,0.7687807202893502,1.0173703440965536,0.06859288110881254,30,0.08335470557128973,0.25874689854421185,Phthalates,urine,0.08335470557128973,1.0790698781879722,-,FALSE,FALSE,FALSE,MCNP_ln_U
Mn_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3225,771,2454,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.3565425319386861,0.9511842021456198,1.9346490793345814,0.17381948612693052,30,0.08958252234210438,0.267475361603838,Heavy Metals,serum,0.08958252234210438,1.0477767134493203,+,FALSE,FALSE,FALSE,Mn_ln_S
X3_HPMA_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2125,480,1645,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8522532197993261,0.7074502643872888,1.0266948607155952,0.09118095828710902,30,0.08975683275296577,0.267475361603838,Volatile Organic Compounds (VOC),urine,0.08975683275296577,1.0469324807556772,-,FALSE,FALSE,FALSE,3_HPMA_ln_U
X24_DCP_ln_U,PCCP_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9030959114229896,0.7938927020670568,1.027320471778353,0.06310639180373999,30,0.1167473268110957,0.3410853273500639,Personal Care Products,urine,0.1167473268110957,0.9327530547831041,-,FALSE,FALSE,FALSE,24_DCP_ln_U
MEP_ln_U,Phthalates_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.891386282806255,0.768902064793971,1.0333819371236301,0.07237734815732472,30,0.12263958145559115,0.34506332949476115,Phthalates,urine,0.12263958145559115,0.9113693403115202,-,FALSE,FALSE,FALSE,MEP_ln_U
CEMA_CYM_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2169,495,1674,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.916743729495171,0.8197859881823772,1.0251688583164071,0.05473542498271778,30,0.12274064740417678,0.34506332949476115,Volatile Organic Compounds (VOC),urine,0.12274064740417678,0.9110115903292579,-,FALSE,FALSE,FALSE,CEMA_CYM_ln_U
EtP_binary_U,PCCP_urine.rds,DM,Diabetes,binary_above_detection_threshold,2116,558,1558,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8041485908842694,0.60372762489954,1.0711038050126647,0.1403637020510354,30,0.1309333967064789,0.36127918720861774,Personal Care Products,urine,0.1309333967064789,0.8829495654015878,-,FALSE,FALSE,FALSE,EtP_binary_U
MCPP_ln_U,Phthalates_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.887764219175238,0.7567201883158512,1.041501629025999,0.07820339325111766,30,0.13840590478075604,0.37495417840604817,Phthalates,urine,0.13840590478075604,0.8588453812737993,-,FALSE,FALSE,FALSE,MCPP_ln_U
PMM_Cys_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2170,494,1676,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8764233990020078,0.7305604337182421,1.0514092180010879,0.08913470324736363,30,0.1493390717113824,0.39106699104444026,Volatile Organic Compounds (VOC),urine,0.1493390717113824,0.8258265525649965,-,FALSE,FALSE,FALSE,PMM_Cys_ln_U
