"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Beta_Interaction","Interaction_Low","Interaction_High","P_Interaction","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Interaction_Direction"
"PNP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2222,1199,1023,-1.11929470152954,-2.59054521722398,0.351955814164904,0.122203478248965,0.96782499090822,0.633958646193645,1.92235284762085,0.732982295816529,3.11172339942516,0.80305814609131,-0.334710432573259,1.94082672475588,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"TCPY_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2243,1216,1027,-1.07675270817149,-2.50926422219288,0.355758805849907,0.126273471758094,0.96782499090822,0.633958646193645,2.04797362265346,1.13095556372882,2.9649916815781,0.971220914481971,-0.333959601084301,2.27640143004824,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"MEOHP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-0.918309523335092,-2.18318228646803,0.346563239797851,0.138363051474749,0.96782499090822,0.642658863218045,0.0571809336592808,-1.059566646871,1.17392851418956,-0.861128589675811,-2.0949105826838,0.37265340333218,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Mo_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2265,1250,1015,-1.23263260920892,-2.9366603294656,0.471395111047757,0.139666274809041,0.96782499090822,0.642658863218045,1.87247913921331,0.719136371995082,3.02582190643154,0.639846530004393,-0.849631305718898,2.12932436572769,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"DMTP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",1043,586,457,1.63707061231613,-0.538057539048139,3.81219876368041,0.140177268822728,0.96782499090822,0.642658863218045,1.52575272721241,-0.303188894940048,3.35469434936487,3.16282333952855,2.16557048880818,4.16007619024892,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MCNP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-1.07153009224714,-2.65178223406785,0.508722049573564,0.163700015027571,0.96782499090822,0.669456998147066,0.96409779586864,-0.497465532468752,2.42566112420603,-0.107432296378504,-1.12708240023384,0.912217807476831,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Co_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2266,1251,1015,1.0342886203993,-0.54596710395521,2.61454434475382,0.17756008197251,0.96782499090822,0.669456998147066,0.72868471284457,-0.237062876102781,1.69443230179192,1.76297333324388,0.304852655750126,3.22109401073762,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"BMA_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2244,1238,1006,0.958492038012129,-0.518018377140732,2.43500245316499,0.180839753425157,0.96782499090822,0.669456998147066,1.48555874654349,0.529484245943204,2.44163324714378,2.44405078455562,1.51929382507708,3.36880774403416,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MINP_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2213,1217,996,-1.57537276174593,-4.00217910258234,0.851433579090466,0.180843249499459,0.96782499090822,0.669456998147066,2.07492885482588,0.0131428149903168,4.13671489466145,0.499556093079947,-1.32544091267033,2.32455309883022,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Mn_ln_S","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",3437,1886,1551,0.935061446801292,-0.597889104701913,2.4680119983045,0.206468349321881,0.96782499090822,0.708659042239963,-1.08460973994566,-1.84494312807667,-0.324276351814645,-0.149548293144366,-1.42084133007565,1.12174474378692,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
