"Class","Exposure_Category","Pollutant","Pollutant_Label","Modifier","Family","Exposure_Type","RERI_Exposure_Definition","Exposure_Cut_for_RERI","n","CVD_events","RERI","RERI_Low","RERI_High","RERI_P_boot","valid_bootstrap_reps","Any_Sparse_Cell","status","error","RERI_P_FDR_BH_within_family","RERI_P_FDR_BH_all_component_tests","RERI_Nominal_P_lt_0_05","RERI_FDR05_within_family","RERI_FDR10_within_family","RERI_Direction"
"C10","Urinary VOC metabolites","MB3_Cys_ln_U","MB3-Cys","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",1.54992378490169,2427,253,1.18522210525489,0.759612836800925,1.62515943874751,0.001998001998002,1000,FALSE,"ok",,0.00999000999000999,0.0187812187812188,TRUE,TRUE,TRUE,"Positive additive interaction"
"C10","Urinary VOC metabolites","NPMA_ln_U","NPMA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",1.34282187853887,2452,259,-2.12070063589755,-4.58945663358889,-0.733319748996426,0.001998001998002,1000,FALSE,"ok",,0.00999000999000999,0.0187812187812188,TRUE,TRUE,TRUE,"Negative additive interaction"
"C10","Urinary VOC metabolites","X3_HPMA_ln_U","3-HPMA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",5.45951111491777,2400,251,1.42571493430049,0.69325506810038,2.32665514512852,0.001998001998002,1000,FALSE,"ok",,0.00999000999000999,0.0187812187812188,TRUE,TRUE,TRUE,"Positive additive interaction"
"C10","Urinary VOC metabolites","X34_MHA_ln_U","3/4-MHA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",5.27478686913784,2479,258,0.854207590520096,0.451217101561464,1.19442874962089,0.001998001998002,1000,FALSE,"ok",,0.00999000999000999,0.0187812187812188,TRUE,TRUE,TRUE,"Positive additive interaction"
"C10","Urinary VOC metabolites","X2_MHA_ln_U","2-MHA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",3.44143949794059,2353,249,0.804838121097448,0.276387049740877,1.29114389602023,0.00599400599400599,1000,FALSE,"ok",,0.023976023976024,0.0402454688168974,TRUE,TRUE,TRUE,"Positive additive interaction"
"C10","Urinary VOC metabolites","MA_ln_U","MA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",4.89116164096196,2437,259,0.682457378756081,0.0369223666765952,1.22576583970174,0.047952047952048,1000,FALSE,"ok",,0.154131582703011,0.16098187526759,TRUE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","GAM_Cys_binary_U","GAM-Cys","Smoking","C11_x_Smoking","Binary","Original binary 0/1",,2486,259,-0.705146544311835,-1.77653073617284,0.00759298341630061,0.0539460539460539,1000,FALSE,"ok",,0.154131582703011,0.169030969030969,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","DHB_Cys_ln_U","DHB-Cys","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",5.71275114463896,2361,243,-1.09404800352826,-3.12264025985205,0.137126396729287,0.0799200799200799,1000,FALSE,"ok",,0.177600177600178,0.220955515073162,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","PMA_binary_U","PMA","Smoking","C11_x_Smoking","Binary","Original binary 0/1",,2450,258,-0.498652619939662,-1.20258456170793,0.0660460813947371,0.0799200799200799,1000,FALSE,"ok",,0.177600177600178,0.220955515073162,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","PGA_ln_U","PGA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",5.30864015392035,2442,253,0.720726087062788,-0.140923722821237,1.43366823313651,0.0959040959040959,1000,FALSE,"ok",,0.191808191808192,0.25041625041625,FALSE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","X2_HPMA_ln_U","2-HPMA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",3.32971350591903,2462,256,0.6143609495237,-0.13278654536289,1.28495633795261,0.10989010989011,1000,FALSE,"ok",,0.193140193140193,0.271833429728167,FALSE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","CEMA_CYM_ln_U","CEMA-CYM","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",0.496436886313891,2459,258,0.657258202414711,-0.166229361226125,1.294821528336,0.115884115884116,1000,FALSE,"ok",,0.193140193140193,0.272327672327672,FALSE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","CEMA_CEM_ln_U","CEMA-CEM","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",4.58334356543055,2472,259,0.793947590900411,-0.261211203014073,1.77103398114885,0.141858141858142,1000,FALSE,"ok",,0.218243295166372,0.317492031777746,FALSE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","PMM_Cys_ln_U","PMM-Cys","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",5.37212258362136,2458,257,0.697482143921034,-0.323325365419085,1.48757665888947,0.157842157842158,1000,FALSE,"ok",,0.225488796917368,0.337208246299155,FALSE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","PHE_Cys_binary_U","PHE-Cys","Smoking","C11_x_Smoking","Binary","Original binary 0/1",,2428,252,-0.742923591432479,-1.84424139858021,0.268547506282778,0.181818181818182,1000,FALSE,"ok",,0.242424242424242,0.356060606060606,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","BMA_ln_U","BMA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",1.88170770589099,2477,258,0.476193307124924,-0.334289399809079,1.20576589546903,0.225774225774226,1000,FALSE,"ok",,0.282217782217782,0.408130331207254,FALSE,FALSE,FALSE,"Positive additive interaction"
"C10","Urinary VOC metabolites","ATCA_ln_U","ATCA","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",4.77728185517662,2426,257,-0.134333225734875,-1.17514167381701,0.4768194370516,0.673326673326673,1000,FALSE,"ok",,0.748140748140748,0.811444965291119,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","CEMA_AAM_ln_U","CEMA-AAM","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",3.92417053689645,2416,251,-0.188927186160132,-1.71429424218783,0.710296353596873,0.673326673326673,1000,FALSE,"ok",,0.748140748140748,0.811444965291119,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","HEMA_binary_U","HEMA","Smoking","C11_x_Smoking","Binary","Original binary 0/1",,2468,257,-0.129645698330787,-1.06302278842689,0.684081671297876,0.805194805194805,1000,FALSE,"ok",,0.847573479152427,0.879859271163619,FALSE,FALSE,FALSE,"Negative additive interaction"
"C10","Urinary VOC metabolites","CMAC_ln_U","CMAC","Smoking","C11_x_Smoking","Continuous","Median split of continuous exposure",5.01063529409626,2461,257,-0.0936716475069252,-0.829419905032427,0.648978030374372,0.861138861138861,1000,FALSE,"ok",,0.861138861138861,0.879859271163619,FALSE,FALSE,FALSE,"Negative additive interaction"
