"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Mean_LE8_Healthy","Mean_LE8_Risk","Weight_Variables","status","error","Beta_Interaction","SE_Interaction","Interaction_Low","Interaction_High","P_Interaction","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_P_Healthy","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Toxicant_P_Risk","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Nominal_P_lt_0_05","FDR05_within_modifier","FDR10_within_modifier","FDR05_all_tests"
"DETP_binary_U","Smoking","LE8_no_smoking","Binary","Binary 0/1",1043,566,477,67.0583038869258,64.685534591195,"WTSB2YR","ok",,6.5185734709195,2.19823917646903,2.21010385563522,10.8270430862038,0.00302327598043385,-0.709308362604463,-4.3081897992155,2.88957307400657,0.699280478830237,5.80926510831504,2.06356001347189,9.55497020315819,0.00236786495152555,0.225234060542322,0.360374496867715,TRUE,FALSE,FALSE,FALSE
"CEMA_CYM_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2227,1200,1027,68.2035714285714,64.3684796216442,"WTSA2YR","ok",,-3.14753627071485,0.973219475649211,-5.28957789413093,-1.00549464729877,0.0079563127355724,2.82530642213258,0.881984454742157,4.76862838952301,0.00845601267946112,-0.322229848582263,-1.41481058436396,0.770350887199437,0.529576645864013,0.320559767513654,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"X4_MDA_binary_U","Smoking","LE8_no_smoking","Binary","Binary 0/1",1029,564,465,66.9186930091185,63.431643625192,"WTSA2YR","ok",,-4.75727369114119,1.90415408154457,-8.48934711198348,-1.02520027029889,0.0124767325807865,2.29943073275482,-0.574561240972592,5.17342270648223,0.116850115590176,-2.45784295838637,-4.71887328425976,-0.196812632512975,0.0331245724400703,0.320559767513654,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"X1_PY_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2259,1218,1041,68.1691297208539,64.4792095512557,"WTSA2YR","ok",,-1.76646726051438,0.617224785370709,-3.12496985355606,-0.407964667472703,0.0154625720681355,2.20393615635622,0.831656039781922,3.57621627293051,0.00467466606935494,0.437468895841835,-0.739600467041864,1.61453825872553,0.430710966448624,0.320559767513654,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PMM_Cys_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2229,1208,1021,68.2142857142857,64.4291311039597,"WTSA2YR","ok",,-2.62960100578455,0.925193378214283,-4.66593790144924,-0.593264110119866,0.0160181941579943,2.08404533864495,0.480871000717559,3.68721967657234,0.0154842240467938,-0.545555667139605,-1.62453590301607,0.533424568736864,0.289494639709486,0.320559767513654,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PFNA_ln_S","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2211,1189,1022,67.8253033761865,64.5526977914453,"WTSB2YR","ok",,1.77263003647609,0.624180127347749,0.398818838959581,3.14644123399259,0.016083785000635,-0.596364267418578,-1.8993661793334,0.706637644496245,0.335408436283541,1.17626576905751,0.180992895979549,2.17153864213547,0.0246394581438567,0.320559767513654,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"OXY_binary_U","Smoking","LE8_no_smoking","Binary","Binary 0/1",2257,1203,1054,68.0429877686736,64.9288425047438,"WTSB2YR|WTSC2YR","ok",,-4.10325309943579,1.46437068955712,-7.32631125602416,-0.880194942847414,0.0172112626852968,3.2847065065039,0.671596045738192,5.8978169672696,0.0183361600887763,-0.818546592931889,-3.82861171874382,2.19151853288004,0.56160977756878,0.320559767513654,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PFDA_ln_S","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2211,1189,1022,67.8253033761865,64.5526977914453,"WTSB2YR","ok",,2.22615757366052,0.814134679811265,0.434259225079969,4.01805592224107,0.0194254726704408,0.0905234880407849,-1.19310435089061,1.37415132697218,0.879461816224141,2.31668106170131,1.00571170117091,3.62765042223171,0.00252186910545255,0.321599491988408,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"MA_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2210,1187,1023,68.3253099049224,64.509844993716,"WTSA2YR","ok",,-2.42111330618247,0.910711126554655,-4.4255749808596,-0.416651631505335,0.0222467376357757,2.20672947312195,0.788537457156361,3.62492148908754,0.00567524178776263,-0.214383833060519,-1.46808091750688,1.03931325138584,0.713799350908964,0.324767007334653,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"X2_HPMA_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2230,1206,1024,68.2444918265814,64.4398716517857,"WTSA2YR","ok",,-2.09806964467425,0.801848291215408,-3.86292583428421,-0.333213455064302,0.0239760877898066,2.49295544713735,1.25402870583432,3.73188218844037,0.00101363232169151,0.394885802463093,-0.747320880904822,1.53709248583101,0.462699989225061,0.324767007334653,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"Harman_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",1163,625,538,69.408,65.7740308019118,"WTSA2YR","ok",,-1.68184549812398,0.78229369221889,-3.21511296020586,-0.14857803604209,0.0315639054768207,2.16195720051628,1.06088321753059,3.26303118350197,0.000118898362901475,0.480111702392304,-0.89220585203512,1.85242925681973,0.492900698985959,0.35025397515087,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"MBzP_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2212,1200,1012,68.0089285714286,64.5892151326934,"WTSB2YR","ok",,2.00224172435416,0.813999345886335,0.210641243734038,3.79384220497428,0.0316923357792602,-2.04810857106871,-2.96629926779279,-1.12991787434462,0.000464548236404496,-0.0458668467145444,-1.44523565816734,1.35350196473825,0.943784475399884,0.35025397515087,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"TCC_binary_U","Smoking","LE8_no_smoking","Binary","Binary 0/1",2214,1201,1013,67.9975020815987,64.5903257650543,"WTSB2YR","ok",,3.46185090883037,1.4317298359944,0.310634786546272,6.61306703111448,0.0341305960567236,-2.68016033037377,-5.34418984436051,-0.0161308163870264,0.0488489063717689,0.781690578456607,-2.01069303427569,3.5740741911889,0.550341632186361,0.35025397515087,0.45204078332905,TRUE,FALSE,FALSE,FALSE
"PFHS_ln_S","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2211,1189,1022,67.8253033761865,64.5526977914453,"WTSB2YR","ok",,1.56114146815094,0.657318779140603,0.114392589812916,3.00789034648896,0.0368241655987624,-0.267414622494832,-1.40715025856114,0.872321013571478,0.615787805827133,1.29372684565611,0.262030158189531,2.32542353312268,0.0185561696070988,0.35025397515087,0.464651876186689,TRUE,FALSE,FALSE,FALSE
"DPHP_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2049,1075,974,68.1328903654485,64.6120563215019,"WTSSBI2Y|WTSSCH2Y","ok",,-2.21721097315392,0.938285981391464,-4.28236449411856,-0.152057452189291,0.037611165116872,1.4937547675168,0.392366196195181,2.59514333883841,0.0124063495409326,-0.723456205637127,-2.24145930580973,0.794546894535476,0.316699451925646,0.35025397515087,0.464651876186689,TRUE,FALSE,FALSE,FALSE
"X3_FL_ln_U","Smoking","LE8_no_smoking","Continuous","Continuous, per 1 SD",2256,1216,1040,68.1796287593985,64.4642857142857,"WTSA2YR","ok",,-2.17935159316666,0.975163967051723,-4.32567301330359,-0.0330301730297222,0.0471239160846,2.34544013411664,0.207353355136544,4.48352691309673,0.0343434958286565,0.166088540949982,-0.846191157953064,1.17836823985303,0.724846801633545,0.391958426535323,0.529982234921422,TRUE,FALSE,FALSE,FALSE
"A_a_C_binary_U","Smoking","LE8_no_smoking","Binary","Binary 0/1",1162,624,538,69.3864468864469,65.833775889538,"WTSA2YR","ok",,3.33371361393349,1.69483201477341,0.011903905132145,6.65552332273484,0.0491846364821605,-2.85645560035479,-4.94655449770548,-0.766356703004103,0.00739294703610857,0.4772580135787,-2.21850059811535,3.17301662527275,0.72859681452019,0.391958426535323,0.529982234921422,TRUE,FALSE,FALSE,FALSE
