"category_group_id","family","outcome","variable","z","est","se"
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.0744242211840516,-0.168743227385471,0.0277579000427553
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.224511243908688,-0.160933338039331,0.0293679774191804
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.374598266633325,-0.151994503813371,0.031712954340429
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.524685289357962,-0.141931274152218,0.0347645008176413
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.674772312082599,-0.130749097870257,0.0385058413895622
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.824859334807236,-0.118454318647746,0.0429298310522559
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.974946357531873,-0.105054169361066,0.0480356447059795
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",1.12503338025651,-0.0905567652582295,0.0538256903972312
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",1.27512040298115,-0.0749710959287748,0.0603033772123635
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",1.42520742570578,-0.0583070161560473,0.0674717587929514
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",1.57529444843042,-0.0405752356048801,0.0753328423760014
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",1.72538147115506,-0.0217873073940913,0.0838873240235812
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",1.87546849387969,-0.00195561553587709,0.0931345641646997
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.02555551660433,0.0189066386852219,0.103072679066694
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.17564253932897,0.0407854514187691,0.113698676966407
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.3257295620536,0.0636660320156914,0.125008600015813
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.47581658477824,0.0875328197953933,0.136997653925041
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.62590360750288,0.112369501820651,0.1496603191408
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.77599063022752,0.138159031635452,0.16299044247112
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",2.92607765295215,0.16488364895038,0.176981311214148
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.07616467567679,0.192524900214821,0.191625712086008
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.22625169840143,0.221063660079341,0.206915978066145
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.37633872112606,0.250480153662684,0.222844025324426
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.5264257438507,0.280753979660807,0.239401382739627
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.67651276657534,0.311864134189247,0.256579215317726
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.82659978929997,0.343789035340233,0.274368343011636
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",3.97668681202461,0.376506548454431,0.292759256188155
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",4.12677383474925,0.409994011987378,0.311742128197609
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",4.27686085747388,0.444228263998245,0.331306826070709
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",4.42694788019852,0.479185669208416,0.351442919714193
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",4.57703490292316,0.514842146526517,0.372139689816917
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-2.07208632756034,-0.224712052122833,0.134931002184738
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.94148125135976,-0.225516048605735,0.123943895149732
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.81087617515918,-0.225674598117266,0.113322276319924
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.68027109895859,-0.225186934917816,0.103066602006079
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.54966602275801,-0.224052583715535,0.0931796346832822
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.41906094655743,-0.222271360396885,0.0836680223112439
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.28845587035685,-0.219843372669568,0.0745448426823051
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.15785079415626,-0.21676902040875,0.0658338031298886
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-1.02724571795568,-0.213048995840504,0.0575763300103512
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.896640641755097,-0.208684283437557,0.0498437425168083
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.766035565554513,-0.203676159688039,0.0427580923615663
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.63543048935393,-0.198026192560356,0.036525855698093
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.504825413153347,-0.191736240815333,0.0314814124360505
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.374220336952764,-0.184808453053807,0.0281002294728888
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.243615260752181,-0.1772452665746,0.026867227861022
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",-0.113010184551598,-0.169049405998948,0.0279532353120054
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.0175948916489852,-0.16022388171151,0.0310390073059528
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.148199967849568,-0.150771988035961,0.0355628879967771
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.278805044050151,-0.140697301244342,0.0410319035515091
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.409410120250735,-0.130003677329364,0.0471171715506502
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.540015196451317,-0.118695249571837,0.0536231260976511
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.670620272651901,-0.106776425923155,0.0604393092939233
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.801225348852484,-0.0942518861291264,0.0675059776747012
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.931830425053067,-0.081126578726761,0.0747933533492776
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.06243550125365,-0.0674057177626652,0.0822895683494498
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.19304057745423,-0.053094779397985,0.089993599963188
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.32364565365482,-0.0381994982323599,0.0979110257582062
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.4542507298554,-0.022725863501738,0.10605139058078
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.58485580605598,-0.00668011507414779,0.11442652222663
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.71546088225657,0.00993126074751149,0.123049423357207
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.84606595845715,0.0271015356139164,0.131933525564214
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",1.97667103465773,0.0448237436303232,0.141092178748013
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.10727611085831,0.0630906861166949,0.150538300244758
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.2378811870589,0.0818949364726174,0.160284133707956
