Scenario,Category,CategoryID,GO,Description,LogP,Log(q-value),FDR,Count,HitListN,GeneRatio,Hits,SourceFile
Full,GO Biological Processes,19,GO:0035295,tube development,-15,-12,6.14421235332821e-6,21,116,0.1810344827586207,CASP8|CAV1|CPS1|CSF1R|CTNNB1|CTNND1|EDN1|ENG|FBN1|KCNQ1|KDR|MET|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|TSC2|VEGFA|EIF2AK3|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0035239,tube morphogenesis,-15,-12,6.14421235332821e-6,19,116,0.16379310344827586,CASP8|CAV1|CSF1R|CTNNB1|CTNND1|EDN1|ENG|FBN1|KDR|MET|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|TSC2|VEGFA|EIF2AK3|NPHP3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04218,Cellular senescence,-15,-12,6.14421235332821e-6,14,116,0.1206896551724138,MTOR|HRAS|IL6|SERPINE1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1|TSC1|TSC2|SQSTM1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04919,Thyroid hormone signaling pathway,-15,-12,6.14421235332821e-6,13,116,0.11206896551724138,ACTB|CTNNB1|ESR1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC2,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043066,negative regulation of apoptotic process,-15,-12,6.14421235332821e-6,24,116,0.20689655172413793,CAV1|CSF1R|CTNNB1|EDN1|ESR1|MTOR|GPX1|GRN|IL6|IL10|KDR|NONO|NOTCH1|SERPINE1|PIK3CA|MAP2K1|PTGS2|PTK2|RAF1|TGFBR1|TNFAIP3|VEGFA|SIGMAR1|ADNP,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,-15,-12,6.14421235332821e-6,18,116,0.15517241379310345,CSF1R|FGFR1|MTOR|HRAS|IL6|IRS1|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TSC1|TSC2|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04140,Autophagy - animal,-14,-12,6.14421235332821e-6,14,116,0.1206896551724138,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2|SQSTM1|EIF2AK3|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05225,Hepatocellular carcinoma,-14,-12,6.14421235332821e-6,14,116,0.1206896551724138,ACTB|CTNNB1|MTOR|HRAS|SMAD4|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|SMARCA4|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0071375,cellular response to peptide hormone stimulus,-14,-12,6.14421235332821e-6,16,116,0.13793103448275862,CAV1|CPS1|ACE|EDN1|FBN1|MTOR|HRAS|IRS1|NONO|PIK3CA|PIK3R2|PPARG|MAPK1|PTK2|RAF1|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,-14,-12,6.14421235332821e-6,18,116,0.15517241379310345,CSF1R|CTNNB1|EFEMP1|FGFR1|HRAS|IRS1|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|PTK2|PTPN11|RAF1|VEGFA|EIF2AK3|FGFRL1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
