ChemicalID_30,Chemical,Gene,Number_of_supporting_sources,Source
9,Cadmium,GNAQ,1,CTD
9,Cadmium,GPX1,1,CTD
9,Cadmium,HNRNPA2B1,1,CTD
9,Cadmium,IDH2,1,CTD
9,Cadmium,IL10,1,CTD
9,Cadmium,IL6,1,CTD
9,Cadmium,IRS1,1,CTD
9,Cadmium,ITIH4,1,CTD
9,Cadmium,KDR,1,CTD
9,Cadmium,KIDINS220,1,CTD
9,Cadmium,MAP2K1,1,CTD
9,Cadmium,MAP2K2,1,CTD
9,Cadmium,MAPK1,1,CTD
9,Cadmium,MAPT,1,CTD
9,Cadmium,MET,1,CTD
9,Cadmium,MFN2,1,CTD
9,Cadmium,MTOR,1,CTD
9,Cadmium,MTTP,1,CTD
9,Cadmium,NR0B2,1,CTD
9,Cadmium,NR3C1,1,CTD
9,Cadmium,PIEZO1,1,CTD
9,Cadmium,PIK3CA,1,CTD
9,Cadmium,PPARG,1,CTD
9,Cadmium,PTGS2,1,CTD
9,Cadmium,PTPN11,1,CTD
9,Cadmium,RAF1,1,CTD
9,Cadmium,SLC2A2,1,CTD
9,Cadmium,SLC8A1,1,CTD
9,Cadmium,SMAD4,1,CTD
9,Cadmium,SQSTM1,1,CTD
9,Cadmium,TNFAIP3,1,CTD
9,Cadmium,UGP2,1,CTD
9,Cadmium,VCP,1,CTD
9,Cadmium,VEGFA,1,CTD
18,Ethylbenzene,ACE,1,CTD
18,Ethylbenzene,CLIP2,1,CTD
18,Ethylbenzene,SIGMAR1,1,SEA
5,Fluorene,DYRK1A,1,SwissTargetPrediction
5,Fluorene,ESR1,1,SwissTargetPrediction
4,Furan,ALOX5,1,SwissTargetPrediction
15,HEMA mercapturic acid,ACE,2,SEA; SwissTargetPrediction
15,HEMA mercapturic acid,EPHX2,1,SwissTargetPrediction
15,HEMA mercapturic acid,PPARG,1,SwissTargetPrediction
15,HEMA mercapturic acid,TGFBR1,1,SwissTargetPrediction
19,Isoprene,MAPK1,1,CTD
26,Manganese,MAPK1,1,CTD
26,Manganese,MTOR,1,CTD
26,Manganese,SERPINE1,1,CTD
16,MeA-alpha-C,CDK8,1,SwissTargetPrediction
16,MeA-alpha-C,DYRK1A,1,SwissTargetPrediction
16,MeA-alpha-C,PIK3CA,1,SwissTargetPrediction
