Category,CategoryID,GO,Description,LogP,Enrichment,#GeneInGOAndHitList,#GeneInHitList,Hits,Log(q-value),GeneID,Source,FDR,Significant_FDR_0_05
GO Biological Processes,19,GO:0150077,regulation of neuroinflammatory response,-4.6,23,4,116,GRN|IL6|MAPK1|PTGS2,-3.3,2896|3569|5594|5743,Metascape session t_e1w6klz,0.036883167401240015,TRUE
GO Biological Processes,19,GO:0061371,determination of heart left/right asymmetry,-4.6,23,4,116,ENG|NOTCH1|PKD2|NPHP3,-3.3,2022|4851|5311|27031,Metascape session t_e1w6klz,0.036883167401240015,TRUE
GO Biological Processes,19,GO:0010721,negative regulation of cell development,-4.6,8.1,7,116,CTNNB1|DRD3|FBN1|IDH2|IL6|NOTCH1|VEGFA,-3.2,1499|1814|2200|3418|3569|4851|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0090596,sensory organ morphogenesis,-4.6,10,6,116,FBN1|FBN2|EFEMP1|KCNQ1|VEGFA|CHD7,-3.2,2200|2201|2202|3784|7422|55636,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0050817,coagulation,-4.6,10,6,116,ACTB|F5|F12|GNAQ|IL6|PIK3CA,-3.2,60|2153|2161|2776|3569|5290,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0050796,regulation of insulin secretion,-4.6,10,6,116,ALOX5|IL6|IRS1|SLC2A2|NR0B2|CAPN10,-3.2,240|3569|3667|6514|8431|11132,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0010639,negative regulation of organelle organization,-4.6,6.7,8,116,DYRK1A|MTOR|GPX1|HNRNPA1|SMAD4|MAPT|PIK3CA|PPARG,-3.2,1859|2475|2876|3178|4089|4137|5290|5468,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0046903,secretion,-4.6,5.8,9,116,ACE|DRD3|EDN1|GJA1|GNAQ|IL6|KCNQ1|MTTP|VEGFA,-3.2,1636|1814|1906|2697|2776|3569|3784|4547|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP4396,Nonalcoholic fatty liver disease,-4.6,10,6,116,CASP8|IL6|IRS1|PIK3CA|PIK3R2|EIF2AK3,-3.2,841|3569|3667|5290|5296|9451,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0016525,negative regulation of angiogenesis,-4.6,10,6,116,ALOX5|CTNNB1|CTNND1|SERPINE1|PPARG|EMILIN1,-3.2,240|1499|1500|5054|5468|11117,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,-4.6,4.6,11,116,CSF1R|EDN1|IL6|IL10|IRS1|SMAD4|NOTCH1|MAPK1|PTPN11|RAF1|TBK1,-3.2,1436|1906|3569|3586|3667|4089|4851|5594|5781|5894|29110,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0031100,animal organ regeneration,-4.6,23,4,116,IL6|IL10|NOTCH1|NR0B2,-3.2,3569|3586|4851|8431,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Canonical Pathways,11,M8626,SIG BCR SIGNALING PATHWAY,-4.6,23,4,116,PIK3CA|MAPK1|RAF1|NR0B2,-3.2,5290|5594|5894|8431,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0031016,pancreas development,-4.6,23,4,116,IL6|MET|EIF2AK3|NPHP3,-3.2,3569|4233|9451|27031,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0050819,negative regulation of coagulation,-4.6,23,4,116,APOE|EDN1|F12|SERPINE1,-3.2,348|1906|2161|5054,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Canonical Pathways,11,M128,PID TNF PATHWAY,-4.6,23,4,116,CASP8|CAV1|TNFAIP3|SQSTM1,-3.2,841|857|7128|8878,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0098657,import into cell,-4.5,4.6,11,116,APOE|APP|CAV1|DRD3|KCNQ1|LIMK1|MAPK1|PTK2|SLC2A2|SLC8A1|TSC2,-3.2,348|351|857|1814|3784|3984|5594|5747|6514|6546|7249,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:1905897,regulation of response to endoplasmic reticulum stress,-4.5,14,5,116,ALOX5|APP|CAV1|EIF2AK3|SIGMAR1,-3.2,240|351|857|9451|10280,Metascape session t_e1w6klz,0.04076220397836621,TRUE
KEGG Pathway,24,hsa04934,Cushing syndrome,-4.5,10,6,116,CTNNB1|GNA11|GNAQ|MAPK1|MAP2K1|MAP2K2,-3.2,1499|2767|2776|5594|5604|5605,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP4928,MAPK pathway in congenital thyroid cancer,-4.5,50,3,116,MAP2K1|MAP2K2|RAF1,-3.2,5604|5605|5894,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP4970,Galanin receptor pathway,-4.5,50,3,116,IL6|PPARG|VEGFA,-3.2,3569|5468|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:1903358,regulation of Golgi organization,-4.5,50,3,116,MAPK1|MAP2K1|MAP2K2,-3.2,5594|5604|5605,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0048143,astrocyte activation,-4.5,50,3,116,APP|GRN|MAPT,-3.2,351|2896|4137,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0001569,branching involved in blood vessel morphogenesis,-4.5,50,3,116,ENG|KDR|VEGFA,-3.2,2022|3791|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0007599,hemostasis,-4.5,10,6,116,ACTB|F5|F12|GNAQ|IL6|PIK3CA,-3.2,60|2153|2161|2776|3569|5290,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:2000181,negative regulation of blood vessel morphogenesis,-4.5,10,6,116,ALOX5|CTNNB1|CTNND1|SERPINE1|PPARG|EMILIN1,-3.2,240|1499|1500|5054|5468|11117,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0001894,tissue homeostasis,-4.5,10,6,116,ACTB|GJA1|IL6|NOTCH1|VEGFA|NPHP3,-3.2,60|2697|3569|4851|7422|27031,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0060249,anatomical structure homeostasis,-4.5,10,6,116,ACTB|GJA1|IL6|NOTCH1|VEGFA|NPHP3,-3.2,60|2697|3569|4851|7422|27031,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP289,Myometrial relaxation and contraction pathways,-4.5,10,6,116,ACTB|ACTC1|GJA1|GNAQ|IL6|SLC8A1,-3.2,60|70|2697|2776|3569|6546,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0006873,intracellular monoatomic ion homeostasis,-4.5,5.7,9,116,ACVR2B|APP|CAV1|DRD3|EDN1|GRN|KCNQ1|SMAD4|SLC8A1,-3.2,93|351|857|1814|1906|2896|3784|4089|6546,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:1902652,secondary alcohol metabolic process,-4.5,14,5,116,APOA1|APOB|APOE|IDH2|NR0B2,-3.2,335|338|348|3418|8431,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0006606,protein import into nucleus,-4.5,14,5,116,ADAR|NOTCH1|TSC2|SQSTM1|IPO8,-3.2,103|4851|7249|8878|10526,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,-4.5,5.1,10,116,APOA1|APOA2|FBN1|GRN|IL10|PPARG|PTPN11|TNFAIP3|SQSTM1|EMILIN1,-3.2,335|336|2200|2896|3586|5468|5781|7128|8878|11117,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0009743,response to carbohydrate,-4.5,10,6,116,APOA2|GPX1|SMAD4|NR0B2|ADNP|NCF1,-3.2,336|2876|4089|8431|23394|653361,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0045807,positive regulation of endocytosis,-4.5,10,6,116,APOA1|APOA2|APOE|APP|SERPINE1|VEGFA,-3.2,335|336|348|351|5054|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0003229,ventricular cardiac muscle tissue development,-4.5,22,4,116,ENG|SMAD4|NOTCH1|TGFBR1,-3.2,2022|4089|4851|7046,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,-4.5,4.2,12,116,ALOX5|APOA1|APOA2|CAV1|CDK8|EPHX2|GPX1|PIK3CA|PIK3R2|PPARG|PTGS2|ACOT2,-3.2,240|335|336|857|1024|2053|2876|5290|5296|5468|5743|10965,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP4658,Small cell lung cancer,-4.5,14,5,116,CASP8|PIK3CA|PIK3R2|PTGS2|PTK2,-3.2,841|5290|5296|5743|5747,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:1901343,negative regulation of vasculature development,-4.5,10,6,116,ALOX5|CTNNB1|CTNND1|SERPINE1|PPARG|EMILIN1,-3.2,240|1499|1500|5054|5468|11117,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0045165,cell fate commitment,-4.5,10,6,116,EDN1|MTOR|IL6|SMAD4|PPARG|TGFBR1,-3.2,1906|2475|3569|4089|5468|7046,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0050821,protein stabilization,-4.5,7.9,7,116,APOA1|APOA2|CTNND1|MTOR|GNAQ|GRN|TSC1,-3.2,335|336|1500|2475|2776|2896|7248,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Reactome Gene Sets,6,R-HSA-446728,Cell junction organization,-4.5,6.6,8,116,ACTB|ACTC1|CTNNB1|CTNND1|IL6|MAPK1|SMARCA4|ZEB2,-3.2,60|70|1499|1500|3569|5594|6597|9839,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0051222,positive regulation of protein transport,-4.5,7.9,7,116,APOE|APP|PIK3R2|PPARG|SLC2A2|NR0B2|CAPN10,-3.2,348|351|5296|5468|6514|8431|11132,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,-4.5,10,6,116,ACVR2B|ENG|SMAD4|PPARG|PTK2|TGFBR1,-3.2,93|2022|4089|5468|5747|7046,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0008283,cell population proliferation,-4.5,6.5,8,116,CSF1R|ACE|GJA1|IL6|IL10|NOTCH1|TGFBR1|SQSTM1,-3.2,1436|1636|2697|3569|3586|4851|7046|8878,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0003281,ventricular septum development,-4.5,22,4,116,SMAD4|NOTCH1|TGFBR1|MATR3,-3.2,4089|4851|7046|9782,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0035924,cellular response to vascular endothelial growth factor stimulus,-4.5,22,4,116,KDR|NOTCH1|PIK3CA|VEGFA,-3.2,3791|4851|5290|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Canonical Pathways,11,M142,PID AJDISS 2PATHWAY,-4.5,22,4,116,CTNNB1|CTNND1|HRAS|MET,-3.2,1499|1500|3265|4233,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Reactome Gene Sets,6,R-HSA-6806667,Metabolism of fat-soluble vitamins,-4.5,22,4,116,APOA1|APOA2|APOB|APOE,-3.2,335|336|338|348,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP2848,Pluripotent stem cell differentiation pathway,-4.5,22,4,116,CSF1R|IL6|NOTCH1|VEGFA,-3.2,1436|3569|4851|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0070328,triglyceride homeostasis,-4.5,22,4,116,APOA1|APOE|FBN1|MAP2K1,-3.2,335|348|2200|5604,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP5347,IL26 signaling,-4.5,22,4,116,IL6|IL10|PIK3CA|MAPK1,-3.2,3569|3586|5290|5594,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0032966,negative regulation of collagen biosynthetic process,-4.5,47,3,116,IL6|NOTCH1|EMILIN1,-3.2,3569|4851|11117,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:0043691,reverse cholesterol transport,-4.5,47,3,116,APOA1|APOA2|APOE,-3.2,335|336|348,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Reactome Gene Sets,6,R-HSA-9034015,Signaling by NTRK3 (TRKC),-4.5,47,3,116,HRAS|IRS1|PIK3CA,-3.2,3265|3667|5290,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Reactome Gene Sets,6,R-HSA-1502540,Signaling by Activin,-4.5,47,3,116,ACVR2B|SMAD4|MAPK1,-3.2,93|4089|5594,Metascape session t_e1w6klz,0.04076220397836621,TRUE
Reactome Gene Sets,6,R-HSA-9018677,Biosynthesis of DHA-derived SPMs,-4.5,47,3,116,ALOX5|EPHX2|PTGS2,-3.2,240|2053|5743,Metascape session t_e1w6klz,0.04076220397836621,TRUE
GO Biological Processes,19,GO:1901163,regulation of trophoblast cell migration,-4.5,47,3,116,FBN2|GJA1|VEGFA,-3.2,2201|2697|7422,Metascape session t_e1w6klz,0.04076220397836621,TRUE
WikiPathways,27,WP4963,p53 transcriptional gene network,-4.5,14,5,116,MTOR|GPX1|NOTCH1|SERPINE1|TSC2,-3.1,2475|2876|4851|5054|7249,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0050768,negative regulation of neurogenesis,-4.5,14,5,116,CTNNB1|DRD3|IDH2|IL6|NOTCH1,-3.1,1499|1814|3418|3569|4851,Metascape session t_e1w6klz,0.0450492023935578,TRUE
WikiPathways,27,WP2004,miR targeted genes in lymphocytes,-4.5,5.6,9,116,ADAR|CTNNB1|IRS1|KCNQ1|MET|NOTCH1|MATR3|SIGMAR1|EHMT1,-3.1,103|1499|3667|3784|4233|4851|9782|10280|79813,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Reactome Gene Sets,6,R-HSA-9658195,Leishmania infection,-4.5,9.8,6,116,ACTB|APP|IL6|IL10|MAPK1|PTK2,-3.1,60|351|3569|3586|5594|5747,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Reactome Gene Sets,6,R-HSA-9824443,Parasitic Infection Pathways,-4.5,9.8,6,116,ACTB|APP|IL6|IL10|MAPK1|PTK2,-3.1,60|351|3569|3586|5594|5747,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0043122,regulation of canonical NF-kappaB signal transduction,-4.4,6.5,8,116,CASP8|CAV1|ESR1|GJA1|TNFAIP3|VEGFA|SQSTM1|TBK1,-3.1,841|857|2099|2697|7128|7422|8878|29110,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0061564,axon development,-4.4,6.5,8,116,ACTB|APP|CSF1R|EDN1|MAPT|NOTCH1|PTK2|VEGFA,-3.1,60|351|1436|1906|4137|4851|5747|7422,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0055090,acylglycerol homeostasis,-4.4,22,4,116,APOA1|APOE|FBN1|MAP2K1,-3.1,335|348|2200|5604,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Canonical Pathways,11,M92,PID ANGIOPOIETIN RECEPTOR PATHWAY,-4.4,22,4,116,PIK3CA|MAPK1|PTK2|PTPN11,-3.1,5290|5594|5747|5781,Metascape session t_e1w6klz,0.0450492023935578,TRUE
KEGG Pathway,24,hsa05171,Coronavirus disease,-4.4,7.7,7,116,ADAR|ACE|IL6|PIK3CA|PIK3R2|MAPK1|TBK1,-3.1,103|1636|3569|5290|5296|5594|29110,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0031669,cellular response to nutrient levels,-4.4,7.7,7,116,CAV1|MTOR|HNRNPA1|MAPK1|TSC1|TSC2|EIF2AK3,-3.1,857|2475|3178|5594|7248|7249|9451,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0043409,negative regulation of MAPK cascade,-4.4,9.7,6,116,APOE|CAV1|SMAD4|PIK3R2|PPARG|EMILIN1,-3.1,348|857|4089|5296|5468|11117,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Reactome Gene Sets,6,R-HSA-9679191,Potential therapeutics for SARS,-4.4,13,5,116,CHD4|NR3C1|VEGFA|SIGMAR1|TBK1,-3.1,1108|2908|7422|10280|29110,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0001938,positive regulation of endothelial cell proliferation,-4.4,13,5,116,FGFR1|IL10|KDR|TGFBR1|VEGFA,-3.1,2260|3586|3791|7046|7422,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,-4.4,21,4,116,EDN1|GJA1|IL10|MFN2,-3.1,1906|2697|3586|9927,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0070169,positive regulation of biomineral tissue development,-4.4,21,4,116,ACVR2B|ALOX5|FBN2|SLC8A1,-3.1,93|240|2201|6546,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0048771,tissue remodeling,-4.4,21,4,116,ACVR2B|CAV1|ACE|GJA1,-3.1,93|857|1636|2697,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0090398,cellular senescence,-4.4,21,4,116,HRAS|LMNA|MAP2K1|KAT6A,-3.1,3265|4000|5604|7994,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:1905330,regulation of morphogenesis of an epithelium,-4.4,21,4,116,CTNNB1|CTNND1|GJA1|VEGFA,-3.1,1499|1500|2697|7422,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0071396,cellular response to lipid,-4.4,4.9,10,116,CPS1|EDN1|ESR1|NR3C1|IL6|IL10|IRS1|SERPINE1|TNFAIP3|NCF1,-3.1,1373|1906|2099|2908|3569|3586|3667|5054|7128|653361,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0043549,regulation of kinase activity,-4.4,7.6,7,116,ADAR|CSF1R|FGFR1|MTOR|PIK3CA|MAP2K1|MAP2K2,-3.1,103|1436|2260|2475|5290|5604|5605,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0030178,negative regulation of Wnt signaling pathway,-4.4,9.6,6,116,APOE|APP|CAV1|CTNNB1|SMAD4|NPHP3,-3.1,348|351|857|1499|4089|27031,Metascape session t_e1w6klz,0.0450492023935578,TRUE
WikiPathways,27,WP5101,Congenital generalized lipodystrophy,-4.4,44,3,116,CAV1|IRS1|PIK3CA,-3.1,857|3667|5290,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0030224,monocyte differentiation,-4.4,44,3,116,CSF1R|PPARG|VEGFA,-3.1,1436|5468|7422,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Canonical Pathways,11,M267,PID ANTHRAX PATHWAY,-4.4,44,3,116,MAPK1|MAP2K1|MAP2K2,-3.1,5594|5604|5605,Metascape session t_e1w6klz,0.0450492023935578,TRUE
WikiPathways,27,WP4301,Inhibition of exosome biogenesis and secretion by manumycin A in CRPC cells,-4.4,44,3,116,HRAS|MAPK1|RAF1,-3.1,3265|5594|5894,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0010713,negative regulation of collagen metabolic process,-4.4,44,3,116,IL6|NOTCH1|EMILIN1,-3.1,3569|4851|11117,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0046777,protein autophosphorylation,-4.4,13,5,116,CSF1R|DYRK1A|FGFR1|KDR|MAP2K2,-3.1,1436|1859|2260|3791|5605,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Canonical Pathways,11,M7955,SIG INSULIN RECEPTOR PATHWAY IN CARDIAC MYOCYTES,-4.4,21,4,116,IRS1|PIK3CA|MAPK1|RAF1,-3.1,3667|5290|5594|5894,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0071622,regulation of granulocyte chemotaxis,-4.4,21,4,116,CSF1R|EDN1|MAPK1|PTK2,-3.1,1436|1906|5594|5747,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Reactome Gene Sets,6,R-HSA-9769739,Regulation of clotting cascade,-4.4,21,4,116,APP|F5|F12|SERPINE1,-3.1,351|2153|2161|5054,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Reactome Gene Sets,6,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,-4.4,21,4,116,CDK8|SMAD4|SERPINE1|MAPK1,-3.1,1024|4089|5054|5594,Metascape session t_e1w6klz,0.0450492023935578,TRUE
Reactome Gene Sets,6,R-HSA-109581,Apoptosis,-4.4,9.5,6,116,CASP8|CTNNB1|LMNA|MAPT|MAPK1|PTK2,-3.1,841|1499|4000|4137|5594|5747,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,-4.4,13,5,116,CTNNB1|IL10|NONO|MAP2K1|PTGS2,-3.1,1499|3586|4841|5604|5743,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0002027,regulation of heart rate,-4.4,13,5,116,CAV1|ACE|EDN1|KCNQ1|SLC8A1,-3.1,857|1636|1906|3784|6546,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:1904892,regulation of receptor signaling pathway via STAT,-4.4,13,5,116,CAV1|IL6|IL10|NOTCH1|PPARG,-3.1,857|3569|3586|4851|5468,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0046889,positive regulation of lipid biosynthetic process,-4.4,13,5,116,APOE|EDN1|MTOR|MAPK1|PTGS2,-3.1,348|1906|2475|5594|5743,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0034504,protein localization to nucleus,-4.3,9.4,6,116,ADAR|LMNA|NOTCH1|TSC2|SQSTM1|IPO8,-3.1,103|4000|4851|7249|8878|10526,Metascape session t_e1w6klz,0.0450492023935578,TRUE
GO Biological Processes,19,GO:0015909,long-chain fatty acid transport,-4.3,20,4,116,APOE|ACE|DRD3|PPARG,-3,348|1636|1814|5468,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0071320,cellular response to cAMP,-4.3,20,4,116,APP|CPS1|KCNQ1|PKD2,-3,351|1373|3784|5311,Metascape session t_e1w6klz,0.049787068367863944,TRUE
Canonical Pathways,11,M50,PID PTP1B PATHWAY,-4.3,20,4,116,CAV1|CSF1R|IRS1|PIK3CA,-3,857|1436|3667|5290,Metascape session t_e1w6klz,0.049787068367863944,TRUE
KEGG Pathway,24,hsa04979,Cholesterol metabolism,-4.3,20,4,116,APOA1|APOA2|APOB|APOE,-3,335|336|338|348,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,-4.3,9.4,6,116,APP|GRN|IL6|SERPINE1|MAPK1|PTGS2,-3,351|2896|3569|5054|5594|5743,Metascape session t_e1w6klz,0.049787068367863944,TRUE
Reactome Gene Sets,6,R-HSA-9856651,MITF-M-dependent gene expression,-4.3,13,5,116,ACTB|CTNNB1|MET|SERPINE1|SMARCA4,-3,60|1499|4233|5054|6597,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,-4.3,7.4,7,116,ACTB|ALOX5|CAV1|MTOR|IL6|PTPN11|SMARCA4,-3,60|240|857|2475|3569|5781|6597,Metascape session t_e1w6klz,0.049787068367863944,TRUE
Reactome Gene Sets,6,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,-4.3,13,5,116,ALOX5|IL6|IL10|PTGS2|VEGFA,-3,240|3569|3586|5743|7422,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,-4.3,13,5,116,CTNNB1|FBN2|FGFR1|TGFBR1|ANKRD11,-3,1499|2201|2260|7046|29123,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,-4.3,4.8,10,116,ACTB|CTNNB1|DCTN1|GJA1|KIF11|LMNA|MAPT|PKD2|VCP|CLIP2,-3,60|1499|1639|2697|3832|4000|4137|5311|7415|7461,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0051788,response to misfolded protein,-4.3,42,3,116,CAV1|F12|VCP,-3,857|2161|7415,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:2000641,regulation of early endosome to late endosome transport,-4.3,42,3,116,MAPK1|MAP2K1|MAP2K2,-3,5594|5604|5605,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0010759,positive regulation of macrophage chemotaxis,-4.3,42,3,116,CSF1R|MAPK1|PTK2,-3,1436|5594|5747,Metascape session t_e1w6klz,0.049787068367863944,TRUE
WikiPathways,27,WP3287,Overview of nanoparticle effects,-4.3,42,3,116,IL6|PTGS2|PTK2,-3,3569|5743|5747,Metascape session t_e1w6klz,0.049787068367863944,TRUE
Reactome Gene Sets,6,R-HSA-3000480,Scavenging by Class A Receptors,-4.3,42,3,116,APOA1|APOB|APOE,-3,335|338|348,Metascape session t_e1w6klz,0.049787068367863944,TRUE
Reactome Gene Sets,6,R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),-4.3,42,3,116,ALOX5|EPHX2|PTGS2,-3,240|2053|5743,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0032331,negative regulation of chondrocyte differentiation,-4.3,42,3,116,EFEMP1|PTPN11|TGFBR1,-3,2202|5781|7046,Metascape session t_e1w6klz,0.049787068367863944,TRUE
CORUM,33,CORUM:778,LARC complex (LCR-associated remodeling complex),-4.3,42,3,116,ACTB|CHD4|SMARCA4,-3,60|1108|6597,Metascape session t_e1w6klz,0.049787068367863944,TRUE
WikiPathways,27,WP5569,Uterine natural killer cells and progesterone estrogen and chorionic gonadotropin,-4.3,20,4,116,NR3C1|IL6|IL10|VEGFA,-3,2908|3569|3586|7422,Metascape session t_e1w6klz,0.049787068367863944,TRUE
Reactome Gene Sets,6,R-HSA-383280,Nuclear Receptor transcription pathway,-4.3,20,4,116,ESR1|NR3C1|PPARG|NR0B2,-3,2099|2908|5468|8431,Metascape session t_e1w6klz,0.049787068367863944,TRUE
GO Biological Processes,19,GO:0060411,cardiac septum morphogenesis,-4.3,20,4,116,ENG|SMAD4|NOTCH1|TGFBR1,-3,2022|4089|4851|7046,Metascape session t_e1w6klz,0.049787068367863944,TRUE
