Category,Description,LogP,Log(q-value),#GeneInGOAndHitList,#GeneInHitList,Hits,CategoryID,GO,Enrichment,FDR,Significant_FDR_0_05,GeneID,LogQ,Count,HitListN,GeneRatio,MinusLog10FDR
KEGG Pathway,Fluid shear stress and atherosclerosis,-13,-10,12,116,ACTB|ACVR2B|CAV1|CTNNB1|EDN1|KDR|PIK3CA|PIK3R2|PTK2|VEGFA|SQSTM1|NCF1,24,hsa05418,22,1e-10,TRUE,60|93|857|1499|1906|3791|5290|5296|5747|7422|8878|653361,-10,12,116,0.10344827586206896,10
KEGG Pathway,Signaling pathways regulating pluripotency of stem cells,-12,-10,12,116,ACVR2B|CTNNB1|FGFR1|HRAS|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|KAT6A,24,hsa04550,22,1e-10,TRUE,93|1499|2260|3265|4089|5290|5296|5594|5604|5605|5894|7994,-10,12,116,0.10344827586206896,10
KEGG Pathway,Chronic myeloid leukemia,-12,-10,10,116,HRAS|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|TGFBR1,24,hsa05220,34,1e-10,TRUE,3265|4089|5290|5296|5594|5604|5605|5781|5894|7046,-10,10,116,0.08620689655172414,10
KEGG Pathway,Ras signaling pathway,-12,-10,14,116,CSF1R|FGFR1|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|VEGFA|TBK1,24,hsa04014,16,1e-10,TRUE,1436|2260|3265|3791|4233|5290|5296|5594|5604|5605|5781|5894|7422|29110,-10,14,116,0.1206896551724138,10
KEGG Pathway,Breast cancer,-12,-10,12,116,CTNNB1|ESR1|FGFR1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05224,21,1e-10,TRUE,1499|2099|2260|2475|3265|4851|5290|5296|5594|5604|5605|5894,-10,12,116,0.10344827586206896,10
KEGG Pathway,Gastric cancer,-12,-10,12,116,CTNNB1|MTOR|HRAS|SMAD4|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1,24,hsa05226,21,1e-10,TRUE,1499|2475|3265|4089|4233|5290|5296|5594|5604|5605|5894|7046,-10,12,116,0.10344827586206896,10
KEGG Pathway,Focal adhesion,-12,-9.7,13,116,ACTB|CAV1|CTNNB1|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|PTK2|RAF1|VEGFA,24,hsa04510,17,1.9952623149688828e-10,TRUE,60|857|1499|3265|3791|4233|5290|5296|5594|5604|5747|5894|7422,-9.7,13,116,0.11206896551724138,9.7
KEGG Pathway,Hepatitis B,-12,-9.6,12,116,CASP8|HRAS|IL6|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1|TBK1,24,hsa05161,19,2.511886431509582e-10,TRUE,841|3265|3569|4089|5290|5296|5594|5604|5605|5894|7046|29110,-9.6,12,116,0.10344827586206896,9.6
KEGG Pathway,Lipid and atherosclerosis,-12,-9.4,13,116,APOA1|APOB|CASP8|HRAS|IL6|PIK3CA|PIK3R2|PPARG|MAPK1|PTK2|EIF2AK3|TBK1|NCF1,24,hsa05417,16,3.9810717055349694e-10,TRUE,335|338|841|3265|3569|5290|5296|5468|5594|5747|9451|29110|653361,-9.4,13,116,0.11206896551724138,9.4
KEGG Pathway,GnRH secretion,-12,-9.3,9,116,GNA11|GNAQ|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa04929,37,5.011872336272714e-10,TRUE,2767|2776|3265|5290|5296|5594|5604|5605|5894,-9.3,9,116,0.07758620689655173,9.3
