Gene,Degree,Betweenness,EntrezGeneID,MCODE_Cluster,MCODE_Score,MCODE_Type,Network,Candidate_Hub,Hub_Criterion
FGFRL1,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
IPO8,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
ITIH4,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
SIGMAR1,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
SLC2A2,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
GPX1,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
ZEB2,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
FBN2,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
KIDINS220,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
CLIP2,1,0,NA,NA,NA,NA,NA,FALSE,Not retained
