method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.7128817199730408,0.8849730766691356,3.315314176178856,0.33674005519415745,2121,0.10999899419572844,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MINP_binary_U,Phthalates_urine.rds,angina,Angina,binary_above_detection_threshold,2144,45,2099,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,0.5381037943581104,0.25085060842975676,1.1542953605539168,0.3891695864687453,2121,0.11130053306315693,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MHNCH_binary_U,Phthalates_urine.rds,angina,Angina,binary_above_detection_threshold,2144,45,2099,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.4364152480634311
same_sample_unweighted,odds_ratio,1.4042574894203401,0.9077780405128759,2.172270101928233,0.22246572602783704,2207,0.12698077449350875,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DMA_ln_U,HM_urine.rds,angina,Angina,natural_log_transformed,2230,46,2184,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4654373989029637
same_sample_unweighted,odds_ratio,1.2178157046818177,0.9450165710050668,1.569364110718563,0.12932220896617233,2120,0.12756318939296593,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MCOP_ln_U,Phthalates_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.4654373989029637
same_sample_unweighted,odds_ratio,4.302316967216187,0.6554598641960403,28.239610535268703,0.9588697200970264,1025,0.12807337822162088,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CYHA_Cys_binary_U,VOC_urine.rds,angina,Angina,binary_above_detection_threshold,1048,19,1029,15,2,2015-2016,WTSA2YR,ok,,0.4654373989029637
same_sample_unweighted,odds_ratio,1.4165052104328926,0.899162898487753,2.231505564295547,0.23175446308860975,2171,0.1329884758782308,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CMAC_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2194,45,2149,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4707253076762569
same_sample_unweighted,odds_ratio,1.5383661823325092,0.8731687198521293,2.710324427729244,0.28879600258541194,2158,0.13584690087301374,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PGA_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2181,44,2137,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4707253076762569
same_sample_unweighted,odds_ratio,0.3635691041185673,0.09310600596952578,1.4196988915284563,0.694176993874336,988,0.14496930257870475,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFHxA_binary_U,PFC_urine.rds,angina,Angina,binary_above_detection_threshold,1011,21,990,15,2,2013-2014,WTSSBH2Y,ok,,0.4909187746415229
same_sample_unweighted,odds_ratio,2.1875440352060056,0.7384065248868614,6.480642768830603,0.5534502820366981,1013,0.15725541785644986,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MDA_binary_U,pesticides_urine.rds,angina,Angina,binary_above_detection_threshold,1036,22,1014,15,2,2015-2016,WTSB2YR,ok,,0.5163837025933661
same_sample_unweighted,odds_ratio,1.2550389298926816,0.9144342829281913,1.7225105674104073,0.16145190179706004,2173,0.1594204719415761,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_HPMA_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2196,45,2151,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5163837025933661
