method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.1525740705384746,0.9779778331311842,1.3583405912426605,0.08381074309584606,2121,0.09021458780118442,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MBzP_ln_U,Phthalates_urine.rds,CVD,natural_log_transformed,2144,190,1954,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.42006167444926495
same_sample_unweighted,odds_ratio,1.2367673446018441,0.9589982256642371,1.5949909225473742,0.1297814917352281,2115,0.1015520978158933,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,EO_ln_S,gas_serum.rds,CVD,natural_log_transformed,2138,170,1968,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.5053187089240936,0.9152222666671976,2.475884272012451,0.2538786300404051,1010,0.10717442593899386,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MCOCH_binary_U,Phthalates_urine.rds,CVD,binary_above_detection_threshold,1033,103,930,15,2,2015-2016,WTSB2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.1812024547339386,0.9639594292314629,1.4474045242566547,0.10369528306382413,2171,0.10827746028767915,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_NP_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2194,172,2022,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.3603949996296425,0.9296504905534526,1.9907207857391278,0.1942493237458369,2173,0.11309514733294716,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,OXY_binary_U,pesticides_urine.rds,CVD,binary_above_detection_threshold,2196,193,2003,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.2263325552723334,0.9507577572863564,1.581782030801582,0.12986158321509664,2210,0.11615491664608657,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Co_ln_U,HM_urine.rds,CVD,natural_log_transformed,2233,177,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.1814513976576215,0.9590753589244351,1.455388663715135,0.10639445865381546,2121,0.11706293198079723,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MEOHP_ln_U,Phthalates_urine.rds,CVD,natural_log_transformed,2144,190,1954,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.4965013638228895,0.9018397409753922,2.483275276272036,0.25839679152808254,1148,0.11873156517943087,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TTCA_binary_U,VOC_urine.rds,CVD,binary_above_detection_threshold,1171,86,1085,15,2,2013-2014,WTSA2YR,ok,,0.45361546696756927
same_sample_unweighted,odds_ratio,1.1751036770051935,0.9550363822882474,1.4458806777628654,0.10579899614405275,2169,0.12722866411632452,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PMM_Cys_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2192,173,2019,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4739267738333089
same_sample_unweighted,odds_ratio,1.1996310377690123,0.9464946836383625,1.5204677338986672,0.12092261290097056,2205,0.1322698509524033,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_PH_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2228,177,2051,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4806879949245876
same_sample_unweighted,odds_ratio,0.47479688699992983,0.17831066489656322,1.2642658476743145,0.49968253323799866,1945,0.13604478609335022,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,FA_ln_S,gas_serum.rds,CVD,natural_log_transformed,1968,162,1806,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.48263507447402815
same_sample_unweighted,odds_ratio,1.1988482920175088,0.9307756000948109,1.5441286032067212,0.12913421016006235,2135,0.1601876612248292,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_AAM_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2158,166,1992,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5238879772929297
same_sample_unweighted,odds_ratio,0.8607370533686778,0.6981689205144449,1.06115905946642,0.10680195284210589,2050,0.1602734738934355,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFDA_ln_S,PFC_serum.rds,CVD,natural_log_transformed,2073,185,1888,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5238879772929297
same_sample_unweighted,odds_ratio,1.1758703591179687,0.9371485328879513,1.4754023006271273,0.11577870615312154,2205,0.1617244350233757,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X23_OH_PH_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2228,177,2051,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5238879772929297
