exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh
AsC_binary_U,HM_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,2235,840,1395,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.080135716727887,0.723068437104375,1.6135307623486466,0.19651545503328086,30,0.6976334010590066,0.9924688003756363
Benzene_binary_S,VOC_serum.rds,Hypertension,Hypertension,binary_above_detection_threshold,3082,1206,1876,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9363031402393,0.6587287435848175,1.3308415322081593,0.17217460834074286,30,0.7049609975996144,0.9924688003756363
X24D_ln_U,pesticides_urine.rds,Hypertension,Hypertension,natural_log_transformed,2203,859,1344,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9699736317953243,0.8220920777564695,1.144456772951559,0.08099628498796468,30,0.7092741132661886,0.9924688003756363
MCNP_ln_U,Phthalates_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0298422934168685,0.8753705523431882,1.2115727979096083,0.07957492190026128,30,0.7143251128154273,0.9924688003756363
MiBP_ln_U,Phthalates_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0347017098963585,0.8512445691460411,1.2576968679359322,0.09556461625606232,30,0.7236170964434363,0.9924688003756363
X1_PH_ln_U,PAH_urine.rds,Hypertension,Hypertension,natural_log_transformed,2228,841,1387,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9630175977302458,0.767224441592309,1.2087765238727115,0.11129382054568797,30,0.7372728867193923,0.9924688003756363
MCOCH_binary_U,Phthalates_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,1033,414,619,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9034924483769501,0.47103811237328946,1.7329778267013636,0.3055801834170802,15,0.7443984601422686,0.9924688003756363
PHE_Cys_binary_U,VOC_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,2173,817,1356,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0460489130947843,0.7909904539625064,1.383352129099963,0.13685221348929555,30,0.7444647536486154,0.9924688003756363
X34_MHA_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,2218,835,1383,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0184801242714072,0.9065563019583371,1.14422210875941,0.05700198471523112,30,0.7502542827627637,0.9924688003756363
PMM_Cys_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,2192,828,1364,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0335695970610397,0.8370027479016149,1.2762994083915344,0.10329002078839869,30,0.751436164168003,0.9924688003756363
