exposure,outcome,estimate_same_sample_unweighted,estimate_survey_weighted,conf_low_same_sample_unweighted,conf_low_survey_weighted,conf_high_same_sample_unweighted,conf_high_survey_weighted,p_value_same_sample_unweighted,p_value_survey_weighted,p_fdr_bh_same_sample_unweighted,p_fdr_bh_survey_weighted,direction_consistent
MCPP_ln_U,CVD,0.9428605614084138,0.9266212881065641,0.7981189959610567,0.7704223152034944,1.1138514967795181,1.1144887610705771,0.4889789684143931,0.4058421621266678,0.8219194118987619,0.8665324003372114,TRUE
MHBP_ln_U,CVD,0.9306939751372237,0.9108119044016243,0.7582478343327538,0.6853735570756794,1.1423590495566163,1.210403168659323,0.4921019509190076,0.5074140784112623,0.8219194118987619,0.8845138616998544,TRUE
MEHP_binary_U,CVD,0.8889391584195009,0.9427489757128444,0.6338893439190907,0.5841917921400558,1.246610051031924,1.5213764437733484,0.4950176278919453,0.8030750278103727,0.8219194118987619,0.9568297563098194,TRUE
MEHHP_ln_U,CVD,1.071357799164985,0.8630636777729815,0.8772737153680815,0.6909847498835825,1.30838017111917,1.0779961670883802,0.4990830358048576,0.18631914258819032,0.8219194118987619,0.6309365786777807,FALSE
Ba_ln_U,CVD,0.9443511227264599,0.9959165589600506,0.7946235132415923,0.8132002375108729,1.1222912840279726,1.219687042205969,0.5156441072279232,0.9673864028838146,0.8219194118987619,0.9872642056827972,TRUE
HIBP_ln_U,CVD,0.9360317539914783,0.8607563589026734,0.7643222396225212,0.6740131605491954,1.1463168269355524,1.0992389359099324,0.5226128580133738,0.22019263148486307,0.8219194118987619,0.6309365786777807,TRUE
MCOP_ln_U,CVD,1.0474676652810957,1.0641062316868084,0.9084647397554377,0.8903603996214845,1.2077392349919898,1.271757001767014,0.5232027984369556,0.48205806214706204,0.8219194118987619,0.8820965225416805,TRUE
PFHpA_binary_S,CVD,0.7893393850359235,0.762919128724033,0.3716943773611002,0.3365214463416297,1.67626066660565,1.7295943640458407,0.5381379186310681,0.4918040951401439,0.8219194118987619,0.8820965225416805,TRUE
THg_ln_S,CVD,0.9515461790135185,0.9330531767044489,0.8120970495590705,0.7756226444856058,1.1149407959145243,1.1224378720088026,0.5390232206730514,0.44978359869898565,0.8219194118987619,0.8665324003372114,TRUE
Benzene_binary_S,CVD,0.8839812165886658,0.9301922628748001,0.5948346567154353,0.581135270707653,1.3136806715271883,1.4889091912430472,0.5417802342207827,0.7555680056576344,0.8219194118987619,0.9568297563098194,TRUE
